RN	DOCULECT	REFLEX	CONCEPT	NEPALI	GFN	ETYMON
364	Kulung	celma	split in two (in particular firewood)	 cirnu.	vt-4 [1: cel- 2: cell- 3: cel-]	
365	Kulung	cemcemmas	sole of the foot, planta pedis.		n.	323
366	Kulung	cemma	rot away, waste away	 makāunu.	vi-1 [1: cem-]	367
367	Kulung	ce:ma	cut meat	 māsu kāṭnu.	vt-4 [1: cen- 2: cenn- 3: cei-]	
368	Kulung	ceralampɔwa	the tree Maesa chisia Buch.-Ham. ex. D.Don	 bilaune.	n.	
369	Kulung	cǝiǝmma	fly	 jhiṃgā.	n.	208
370	Kulung	cǝima	tease, deride, harass	 jiskāunu, satāunu.	vt-4 [1: cǝi- 2: cǝiy- 3: cǝi-]	785
371	Kulung	cǝmma	put into disorder	 bitholnu.	vt-2 [1: cǝps- 2: cǝm-]	
372	Kulung	cha	child, offspring, son, daughter.		n.	335
373	Kulung	-cha			diminutive suffix	
374	Kulung	chabɔ	honeycomb	 cākā.	n.	
375	Kulung	chacha	children (collectively).		n.	
376	Kulung	chaima	pile, heap up	 khapṭyāunu.	vt-4 [1: chan- 2: chann- 3: chai-]	
377	Kulung	cham	daughter	 chorī.	n.	
378	Kulung	cham	song	 gīt.	n.	236
379	Kulung	chama	blaze (of fire)	 dankanu.	vi-3 [1: chas- 2: cha-]	
380	Kulung	chamei	needle	 siyo.	n.	773
381	Kulung	terma	be turned.		vi-3 [1: ters-2: ter-]	
382	Kulung	terma	turn	 palṭāunu.	vt-2 [1: ters- 2: ter-]	
383	Kulung	tǝima	be straight	 sīdhā hunu.	vi-4 [1: tǝn- 2: tǝi- 3: tǝn-]	517
384	Kulung	tǝima	ask, inquire	 sodhnu.	vt-5 [1: tǝt- 2: tǝtt- 3: tǝi- 4: tǝn- 5: tǝ:-]	
385	Kulung	tǝlma	push, shove	 ghaceḍnu,	vt-4 [1: tǝl- 2: tǝll- 3: tǝl-]	
386	Kulung	tǝntǝipa	straight	 sīdhā.	adj.	517
387	Kulung	tha	bamboo foot bridge	 sāṃghu.	n.	
388	Kulung	thaima	be torn, broken, or cut into two parts	 cuṃḍinu.	vi-1 [1: thai-]	
389	Kulung	thambukhɔ	flat winnowing basket	 nāŋlo.	n.	
390	Kulung	thamma	take the wrong way, go astray, miss	 bāṭo bhulnu, birāunu.	vi-1 [1: tham-]	
391	Kulung	thamma	measure	nāpnu, taulanu, jokhnu.	vt-4 [1: thap- 2: thapp- 3: tham-]	546
392	Kulung	thamma	winnow	 niphannu	vt-4 [1: thap- 2: thapp- 3: tham-]	899
393	Kulung	thampu	land, field	 jaggā.	n.	509
394	Kulung	thaNthaNpa	shining, bright	 jhaka-makka.	adj.	
395	Kulung	tha:ma	get better in health, recover (from disease)	 taŋgrinu.	vi-3 [1: thaN- 2: tha:-]	
396	Kulung	thapri	waist-band	 paṭukā.	n.	559
397	Kulung	tharama	steep, precipitous	 bhirālo.	adj.	
398	Kulung	thariwa	weak, without strength	 kamjor.	adj.	
399	Kulung	thedɔ	vagina.		n.	896
400	Kulung	theima	lift, remove	 ucālnu.	vt-5 [1: thet- 2: thett- 3: thei- 4: then- 5: the:-]	907
401	Kulung	hɔbɔ	the folding together of two palms	 an$juli.	n.	
402	Kulung	hɔdu	waking consciousness.		n.	
403	Kulung	hɔgɔ: se:pa	tonight	 bhare rāti.	adv.	
404	Kulung	hɔgɔ:wa	later, later in the day	 bhare.	adv.	
405	Kulung	hɔkuhɔku	lukewarm.		adj.	33
406	Kulung	hɔlnam	first part of the summer (mid May till mid July), also called the hot season	 garmī mahīnā.	n.	
407	Kulung	hɔ:ma	taste pungent	 kokyāunu.	vi-3 [1: hɔN- 2: hɔ:-]	40
408	Kulung	hɔ:ma	be warm (of clothes), be cosy.		vi-3 [1: hɔk- 2: hɔ:-]	33
409	Kulung	hɔ:ma	throw, throw away	 phālnu, phyāṃknu.	vt-2 [1: hɔks- 2: hɔ:-]	
410	Kulung	-hɔ:p	own, self; preceded by the possessive pronominal prefixes. -hɔ:p is often followed immediately by the emphatic suffix -Na.		reflexive pronoun	799
411	Kulung	hɔpchɔ	verandah inside the courtyard	 piṃḍhī.	n.	
412	Kulung	hɔptɔ	empty	 khālī.	adj.	30
413	Kulung	hɔsɔ	yet	 ajhai.	adv.	
414	Kulung	hɔu	bark of a tree, peelings (of a potato), foreskin (of a penis)	 bokro.	n.	908
415	Kulung	hu	arm	 hāt.	n.	116
416	Kulung	hudimma	hiccup	 hikkā.	n.	32
417	Kulung	huhu	brown fish owl.		n.	
418	Kulung	huima	burn, be hot (to the touch).		vi-1 [1: hui-]	93
419	Kulung	huima	burn, roast	 polnu.	vt-5 [1: hui- 2: huiy- 3: hui- 4: hun- 5: hu:-]	
420	Kulung	hukphama	palm	 hatkelā.	n.	
421	Kulung	dindiri	heel	 kurkuccā.	n.	511
422	Kulung	di:ma	lay eggs	 ḍimmā pārnu.	vi-4 [1: dit- 2: di:- 3: din-]	387
423	Kulung	di:ma	stop	 roknu.	vt-4 [1: diN- 2: diNN- 3: di:-]	
424	Kulung	diri	bamboo band for tying.		n.	
425	Kulung	diriNwa	gecko	 māusulī.	n.	
426	Kulung	diritti	swamp	 sim.	n.	
427	Kulung	dɔ	come on		interj.	
428	Kulung	dɔ	nut, seed, kernel	 geḍā.	n.	
429	Kulung	dɔcer	wheat, Triticum sativum	 gahuṃ.	n.	344
430	Kulung	dɔkkhu	cloth made of wild hemp	 bhāŋgro.	n.	
431	Kulung	dɔkthum	in three days	 nikorsi.	adv.	
432	Kulung	dɔma	dig	 khannu.	vt-8 [1: dɔi- 2: dɔ- 3: dǝi- 4: dǝ- 5: dui- 6: du- 7: da- 8: dɔk-]	506
433	Kulung	dɔmɔ	in three year's time	 tīn varṣa pachi.	adv.	
434	Kulung	-dɔN	year (always preceded by a numeral)	 varṣa.	n.	560
435	Kulung	dɔNgǝm	jew's harp	 bināyo.	n.	
436	Kulung	dɔ: bǝma	to weave at a loom	 bunnu.	vt-6 [1: bui- 2: bu- 3: bǝi- 4: bǝ-]	388
437	Kulung	dɔ: m-saradam	loom	 tān.	n.	
438	Kulung	dɔ:berpɔwa	the Nepalese red rhododendron tree Rhododendron barbatum	 lāli gurāṃs.	n.	
439	Kulung	dɔ:ma	throw, spit		vt-2 [1: dɔks- 2: dɔ:-]	577
440	Kulung	dɔ:ma	freeze, coagulate	 jammu.	vt-4 [1: dɔN- 2: dɔNN- 3: dɔ:-]	521
441	Kulung	cucu	nipple of breast	 munṭo.	n.	
442	Kulung	cumma	load	 bhārī hālnu.	vt-2 [1: cups- 2: cum-]	
443	Kulung	cuN	coldness	 jāḍo.	n.	310
444	Kulung	cunam	cold season	 jāḍo mahīnā.	n.	
445	Kulung	cuNnam	last part of the winter (January to March).		n.	
446	Kulung	cu:khɔ:m	rainbow		n.	
447	Kulung	cu:ma	be cold		vi-3 [1: cuN- 2: cu:-]	310
448	Kulung	cupa	right hand	 dāyāṃ, khāne hāt.	n.	305
449	Kulung	cupkhaswa	thin	 dublo.	adj.	
450	Kulung	cupla	on the rightside	 dāhine.	adv.	
451	Kulung	curma	shrink, wrinkle	 cāurinu.	vt-1 [1: cur-]	372
452	Kulung	cusdɔ	corner	 kunā.	n.	
453	Kulung	daima	be seen	 dekhinu.	vi-4 [1: dat- 2: dai- 3: dan-]	562
454	Kulung	dalui	downhill	 orālo.	adv.	507
455	Kulung	damai	tailor's caste	 damā	n.	
456	Kulung	damma	taste	 cākhnu.	vt-4 [1: dap- 2: dapp- 3: dam-]	762
457	Kulung	damma	knock down, tackle, wrestle, play around	 pachārinu,kūstī khelnu.	vi-3 [1: daps- 2: dam-]	390
458	Kulung	damphe	altar in upper side of the house for household gods.		n.	
459	Kulung	damrɔ	precipice, steep slope	 bhīr.	n.	456
460	Kulung	da:lɔi	when? (in the past)	 kahile.	pron.	
461	Kulung	nǝpa	good	 rāmro.	adj.	486
462	Kulung	ni	paternal aunt, older or younger than father	 phupū.	n.	482
463	Kulung	nicisi	fruit of the tree Machilus Gamblei	 kāulo.	n.	
464	Kulung	nicisipɔwa	the fruit-bearing tree Machilus Gamblei	 kāulo boṭ.	n.	
465	Kulung	Nikpa	cook	 bhānche.	n.	
466	Kulung	Nima	cook (potatoes, maize, etc.), boil	 pakāunu.	vt-4 [1: Ni:- 2: Ni:y- 3: Ni-]	876
467	Kulung	nime	sister-in-law (female ego); i.e. husband's younger sister	 nanda.	n.	
468	Kulung	niN	name	 nām.	n.	617
469	Kulung	ninamma	sun god.		n.	
470	Kulung	niNniNyɔ	soon.		adv.	
471	Kulung	Nirma	count	 gannu.	vt-1 [1: Nir- ]	821
472	Kulung	niskhal	forty	 cālīs.	num.	
473	Kulung	nitci	two	 duī.	num.	504
474	Kulung	niwa	mind	 man.	n.	787
475	Kulung	Nkǝ	he, this one	 yo.	dem.	
476	Kulung	Nkǝla	this way	 yo bāṭo-bāṭa.	adv.	
477	Kulung	nɔbɔ	ear	 kān.	n.	447
478	Kulung	Nɔbɔ	face	 anuhār.	n.	85
479	Kulung	nɔkchɔ	priest.		n.	496
480	Kulung	Nɔkpa	beggar	 māgne.	n.	
481	Kulung	dɔ:ri	foot of a tree	 phed.	n.	
482	Kulung	dɔs	back	 piṭhyūṃ.	n.	573
483	Kulung	dɔska	later	 pachi.	adv.	
484	Kulung	dɔspi	later	 pachi.	adv.	
485	Kulung	dɔu	half	 ādhā.	n.	
486	Kulung	dɔwa	kind of ghost (Nep. bhūt) that eats the sun or moon and causes an eclipse of the sun or moon.		n.	
487	Kulung	dɔwe	back of the head (Lat. occiput).		n.	301
488	Kulung	dukwa	sorrow, misery	 duḥkha.	n.	
489	Kulung	duma	cook	 pāknu.	vi-3 [1: du:- 2: du-]	
490	Kulung	dumdu	small moutain bamboo Arundinaria intermedia, Nep. kālo nigālo.		n.	
491	Kulung	dumluN	pounding stone.		n.	385
492	Kulung	dumma	track, follow the tracks of	 pāilyāunu.	vt-2 [1: dups- 2: dum-]	569
493	Kulung	dumma	1. pound, crush, knock, forge, blow (on a horn or flute) 2. lam dumma drive cattle	1. kuṭnu, piṭnu, bajāunu. 2. hiṃḍāunu.	vt-4 [1: dup- 2: dupp- 3: dum-]	385
494	Kulung	dumɔ	too much, very	 dherai.	adv.	
495	Kulung	du:ma	drink	 piunu.	vt-4 [1: duN- 2: duNN- 3: du:-]	386
496	Kulung	duppa	landslide	 pahiro.	n.	
497	Kulung	durma	be able	 saknu.	vi-1 [1: dur-]	534
498	Kulung	e	yes (as a response to a question with one of the question particles: &lt;-yɔ>, &lt;-ǝɔ>, or &lt;-kɔ>)	 ho.	interj.	
499	Kulung	eima	be left over (food)	 ubrinu.	vi-6 [1: et- 2: ei- 3: ett- 4: en- 5: e:-]	
500	Kulung	eima	leave over (food).		vt-5 [1: et- 2: ett- 3: ei- 4: en- 5: e:-]	
501	Kulung	nɔkthu	porridge.		n.	502
502	Kulung	nɔkthum	in six days.		adv.	
503	Kulung	nɔmcima	rest	bisāunu	vr [1: nɔ- 2: nɔt-]	873
504	Kulung	nɔN	the fish Psilorhynchus pseudecheneis (Menon and Datta)	 tīte māchā.	n.	
505	Kulung	nɔ:ma	store up (grain, etc.)	 thankyāunu.	vt-4 [1: nɔN- 2: nɔNN- 3: nɔ-]	
506	Kulung	Nɔ:ma	ask for, request (reconstructed with the locative)	 māgnu.	vt-3 [1: Nɔk- 2: Nɔ:- 3: Nɔk-]	822
507	Kulung	nɔ:N	snow, ice	 hiuṃ.	n.	501
508	Kulung	nukcha	baby	 baccā.	n.	
509	Kulung	nukka	lower	 tallo.	adv.	
510	Kulung	numa	first-born daughter	 jeṭhī.	n.	
511	Kulung	nu:	down		adv.	
512	Kulung	nu:ka	from down.		adv.	
513	Kulung	nu:kǝ	dem. he (at lower level).		pron.	
514	Kulung	nu:kǝpu	there (at lower level)		adv.	
515	Kulung	nu:pu	there (at lower level)	 tallo.	adv.	
516	Kulung	nupa	first-born son	 jeṭhā.	n.	
517	Kulung	nurma	filtered millet beer.		n.	
518	Kulung	Nurma	grunt (of a pig)	 ḍukranu.	vi-1 [1: Nur-]	86
519	Kulung	nus	soon, early.		adv.	493
520	Kulung	ɔdɔlɔ	now, at this time	 ahile.	adv.	
521	Kulung	mɔrɔ:na	that way, in that manner	 tyasarī.	adv.	
522	Kulung	mɔsum	father's sleeping place	 mul ochyān.	n.	
523	Kulung	mui	body hair	 rauṃ.	n.	619
524	Kulung	muima	blow out, blow one's nose, inflate	 phuknu.	vt-5 [1: mut- 2: mutt- 3: mui- 4: mun- 5: mu:-]	608
525	Kulung	mukche	knot	 gāṃtho.	n.	
526	Kulung	muks	adj. blind	 andhā.	sippa	
527	Kulung	muksi	eye, sepal of a flower	 āṃkhā.	n.	612
528	Kulung	mukskhil	eye detritus.		n.	
529	Kulung	muksmui	eyelash, eyebrow	 parelā, āṃ khībhauṃ.	n.	
530	Kulung	mukspum	eye socket.		n.	
531	Kulung	muksu	downward (from speaker)	 udho.	adv.	
532	Kulung	mulma	sink	 ḍubnu.	vi-1 [1: mul-]	
533	Kulung	mulma	hide	 lukāunu.	vt-4 [1: mul- 2: mull- 3: mul-]	
534	Kulung	mulmcima	hide oneself	Nep. luknu.	vr [1: mul- 2: muly-]	
535	Kulung	mulu	hail	 asinā.	n.	
536	Kulung	mulum	tuft of hair	 ṭupī.	n.	
537	Kulung	muni	cat	 birālo.	n.	
538	Kulung	muNkǝ	he (invisible)	 tyo.	dem.	
539	Kulung	mupdem	red wasp	 bārulā.	n.	
540	Kulung	muri	smell	 bāsnā.	n.	626
541	Kulung	muwa	kite, hawk	 cīl.	n.	868
542	Kulung	na	1. elder sister 2. husband's elder sister 3. wife's elder sister 4. wife's elder brother's wife	 didī.	n.	817
543	Kulung	Na	fish	 māchā.	n.	83
544	Kulung	Naci	five	 pāṃc.	num.	84
545	Kulung	nagi	serpent god.		n.	
546	Kulung	Naima	become tired	 thāknu.	vi-4 [1: Nat- 2: Nai- 3: Nan-]	446
547	Kulung	nakhilwa	mucus, snot	 siṃgān.	n.	
548	Kulung	nakka	on the other side	 pallo paṭṭi.	adv.	
549	Kulung	Nali	beauty of countenance	 anuhār.	n.	85
550	Kulung	Nali is-a	ugly.		adj.	
551	Kulung	Nali lǝ-pa	beautiful, attractive	 sundar.	adj.	
552	Kulung	Nali nǝ-pa	beautiful, attractive	 sundar.	adj.	
553	Kulung	Nalma	destroy	 bigārnu.	vt-1 [1: Nal- ]	
554	Kulung	nam	sky, sun, weather	 ākās!, ghām.	n.	503
555	Kulung	namchɔwa	sunshine	 ghām.	n.	
556	Kulung	namdurum	locust	 salaha.	n.	490
557	Kulung	namhalbu	sunset	 surje-asta.	n.	
558	Kulung	namkɔkti	yolk.		n.	
559	Kulung	namma	stink, smell	 ganāunu.	vi-1 [1: nam- ]	500
560	Kulung	namma	be quick.		vi-3 [1: nap- 2: nam-]	
561	Kulung	tutel	deaf	 bahiro.	adj.	
562	Kulung	tuwa	pheasant	 kālij.	n.	514
563	Kulung	uima	scratch	 cithornu.	vt-5 [1: ui- 2: uiy- 3: ui- 4: un- 5: u:-]	
564	Kulung	uima	lie down, fall, topple	 ḍhalnu.	vi-6 [1: ut- 2: ui- 3: utt- 4: un- 5: u:-]	
565	Kulung	uksu	downward (towards speaker)	 udho.	adv.	
566	Kulung	ulma	pull out	 ukhelnu.	vt-4 [1: ul- 2: ull- 3: ul-]	
567	Kulung	uma	revive, come to live	 jāgnu.	vi-3 [1: us- 2: u-]	
568	Kulung	u-mi	what kind of?	 ke-ko.	pron.	
569	Kulung	umma	eat by throwing a mouthful at a time into the mouth, catch with open mouth	 bukāunu.	vt-2 [1: ups- 2: um-]	834
570	Kulung	u-mɔm	for what reasonǝ	 ke-ko lāgi.	pron.	
571	Kulung	u:ma	fill with water	 ughāunu.	vt-2 [1: uk- 2: u:-]	
572	Kulung	upi	why?	 kina.	pron.	
573	Kulung	urma	go round	 ghernu.	vi-1 [1: ur-]	
574	Kulung	urɔ-i	why?, for what reason?	 kina.	pron.	
575	Kulung	u-sa-i	with what?, what? (erg)	 ke-le.	pron.	
576	Kulung	u-tɔN-kǝ-i	how?, what kind of?	 kasto.	pron.	
577	Kulung	u-tɔN-na-i	how?, in what manner?	 kasarī.	pron.	
578	Kulung	wa	rain	 pānī.	n.	599
579	Kulung	wabǝm	clay gourd used for libation during rituals	 ciṇḍo.	n.	
580	Kulung	wachu	future	 bhabiṣya.	n.	
581	Kulung	pimas	Emblica myrobalan, Phyllanthus emblica L.	 amalā.	n.	
582	Kulung	pintukulu	bulbul	 jureli.	n.	
583	Kulung	pi:ma	say (takes ergative case, while the verb endings are intransitive!)	 bhannu.	vi-5 [1: pik- 2: pi:- 3: pik-]	660
584	Kulung	pipihɔwa	foliage of the tree Casearia spec.	 harkaṭo.	n.	
585	Kulung	pirma	press, squeeze	 cepnu.	vt-1 [1: pir-]	688
586	Kulung	pittɔ	horn	 siŋ.	n.	119
587	Kulung	pɔi	neck	 ghām.	n.	970
588	Kulung	pɔkpa	awake, arisen	 uṭheko.	adj.	732
589	Kulung	pɔkpɔwa	upper arm.		n.	
590	Kulung	pɔmlalu:bum	Kulung heaven (litt. cave of the spirits).		n.	
591	Kulung	pɔN	large wooden drinking vessel	 ṭhūlo kaṭhuvā.	n.	
592	Kulung	-pɔN	ten (preceded by the numeral 'one' )		num.	
593	Kulung	pɔNma	popcorn.		n.	
594	Kulung	pɔ:ma	get up, wake up, arise	 uṭhnu.	vi-5 [1: pǝk- 2: pɔ:- 3: pɔk-]	947
595	Kulung	pɔ:ma	get someone up, arouse someone, wake someone up	 uṭhaūnu.	vt-3 [1: pǝk- 2: pɔ:- 3: pɔk-]	947
596	Kulung	pɔ:ma	bear, give birth to (of animals)		vi-3 [1: pɔks- 2: pɔ:-]	
597	Kulung	pɔ:ma	send, send away, pop (of maize), explode	 paṭhāunu.	vt-2 [1: pɔks- 2: pɔ:-]	647
598	Kulung	pɔ:tel	courtyard, farmyard	 āṃgan.	n.	
599	Kulung	pɔwa	plant, bush, trunk of a tree	 boṭ.	n.	
600	Kulung	pu	snake	 sāṃp.	n.	753
601	Kulung	kɔ:ma	be too much		vi-3 [1: kɔk- 2: kɔ:-]	
602	Kulung	kɔ:ma	win, exceed, transgress	 jitnu, nāghnu.	vi-3 [1: kɔks- 2: kɔ:-]	107
603	Kulung	kɔ:N	step, pace	 kadam.	n.	
604	Kulung	kɔ:yɔ	restraint, obstruction	bādhā.	n.	
605	Kulung	kɔrma	hinder, stop (people)	 roknu.	vt-1 [1: kɔr-]	
606	Kulung	kɔrɔbuN	blossom of corn.		n.	
607	Kulung	kuima	libate, plash or sprinkle with water	 chyāpnu.	vt-5 [1: kui- 2: kuiy- 3: kui- 4: kun- 5: ku:-]	
608	Kulung	kulucha	a Kulung.		n.	
609	Kulung	kulume	a Kulung woman.		n.	
610	Kulung	kuluriN	the Kulung language.		n.	
611	Kulung	kumma	brood (eggs)	 othryāunu.	vt-4 [1: kup- 2: kupp- 3: kum-]	117
612	Kulung	kumma	bend	 nihuranu.	vt-2 [1: kups- 2: kum-]	806
613	Kulung	kuN	rim of a knife	 biṭ.	n.	
614	Kulung	kuppu	cuckoo		n.	164
615	Kulung	kuppu	bred egg.		n.	117
616	Kulung	kurma	set (of the sun)	 ghām ḍubnu.	vi-1 [1: kur-]	
617	Kulung	kutcǝ	digging instrument	 kuṭo, kuṭe.	n.	
618	Kulung	la	moon	 jūn.	n.	421
619	Kulung	laima	be enough, have enough, suffice	 pugnu.	vi-6 [1: lai- 2: lai- 3: laiy- 4: lan- 5: la:-]	653
620	Kulung	laima	take out of, fetch	 nikālnu, jhiknu.	vt-5 [1: lat- 2: latt- 3: lai- 4: lan- 5: la:-]	862
621	Kulung	phǝpa	grandfather (either paternal or maternal; male or female speaking)	 bāje.	n.	692
622	Kulung	phila	thigh	 philā.	n.	
623	Kulung	phima	deal out (a meal), serve, laddle (rice)	 paskanu.	vt-4 [1: phi:- 2: phi:y- 3: phi-]	
624	Kulung	phimma	suck, draw (through a straw), kiss	 cusnu, tānnu.	vt-4 [1: phip- 2: phipp- 3: phim-]	755
625	Kulung	phɔmcima	part (company), break up.		vr [1: phɔ- 2: phɔk-]	741
626	Kulung	phɔusi	cheek	 gālā.	n.	724
627	Kulung	phuiki	mist	 kuiro.	n.	
628	Kulung	phuima	dig, scratch	 khannu, khosranu.	vt-5 [1: phut- 2: phutt- 3: phui- 4: phun- 5: phu:-]	
629	Kulung	phuima	sow	 charnu.	vt-5 [1: phui- 2: phuiy- 3: phui- 4: phun- 5: phu:-]	
630	Kulung	phuksi	thatch, fodder (for cows etc.)	 khar.	n.	
631	Kulung	phul	flour, dust	 piṭho, dhūlo.	n.	729
632	Kulung	phum	memory, recollection, remembrance	 yād.	n.	
633	Kulung	phum yu:ma	remember	 yād rākhnu.	vt-2 [1: yuks- 2: yu:-]	
634	Kulung	phumma	spray, sprinkle.		vt-4 [1: phup- 2: phupp- 3: phum-]	
635	Kulung	phumphumpa	fat	 moṭo.	adj.	
636	Kulung	phu:ma	throw out water, plash	 chalkinu.	vt-2 [1: phuks- 2: phu:-]	
637	Kulung	phutuker	naked	 nāŋgo.	adj.	
638	Kulung	phutukerja	naked	 nāŋgo.	adv.	
639	Kulung	pi	cow	 gāī.	n.	672
640	Kulung	pima	give	 dinu.	vt-4 [1: pi:- 2: pi:y- 3: pi-]	675
641	Kulung	tɔma	receive, get	 pāunu.	vt-8 [1: tɔi- 2: tɔ- 3: tǝi- 4: tǝ- 5: tui- 6: tu- 7: ta- 8: tɔk-]	582
642	Kulung	tɔmɔ	third-born	 sāhiṃlā, sāhiṃlī.	adj.	
643	Kulung	tɔN	head	 ṭāuko.	n.	510
644	Kulung	-tɔN	like	 jasto.	adv.	
645	Kulung	tɔNba	kind of beer.	tuŋbā	n.	
646	Kulung	-tɔNkǝ	like	 jasto.	adv.	
647	Kulung	tɔNkhim	comb	 kāṃgiyo.	n.	
648	Kulung	tɔNkɔ	pillow	 sirānī.	n.	71
649	Kulung	tɔNrim	head scarf.		n.	
650	Kulung	tɔ:cawa	dandruff	 cāyā.	n.	
651	Kulung	tɔ:ka	from up.		adv.	510
652	Kulung	tɔ:kǝ	dem. he (at higher level).		pron.	510
653	Kulung	tɔ:kǝptɔ	above.		adv.	510
654	Kulung	tɔ:ma	wife	 svāsnī.	n.	
655	Kulung	tɔ:ma	move, shake	 calnu.	vi-3 [1: tɔks- 2: tɔ:-]	547
656	Kulung	tɔ:ma	move, shake	 calāunu, hallāunu.	vt-2 [1: tɔks- 2: tɔ:-]	
657	Kulung	tɔ:ma	be satisfied	 man milnu.	vi-3 [1: tǝN- 2: tɔ:-]	
658	Kulung	tɔ:ptɔ	above, up	 māthi.	adv.	510
659	Kulung	tɔ:sǝm	hair of the head	 kapāl.	n.	253
660	Kulung	tɔ:tɔ	all	 jammai.	adv.	
661	Kulung	da:nai	how?, in what manner?	 kasarī.	pron.	
662	Kulung	dapa	wide.		adj.	
663	Kulung	daplɔ	fire-place, hearth	 aghenu.	n.	794
664	Kulung	dapsi	bedstead	 khāṭ.	n.	
665	Kulung	dapsniN	magical name of a clan.		n.	
666	Kulung	daulu	chin	 ciuṃḍo.	n.	
667	Kulung	dawa	quick	 chiṭo.	adj.	530
668	Kulung	debde	1. paternal uncle, older than father 2. husband of mother's elder sister	 ṭhūlo bā.	n.	
669	Kulung	dedam	rite for the god nagi.		n.	
670	Kulung	deima	fell, cut down (with a khukuri or axe)	 ḍhālnu.	vt-5 [1: det- 2: dett- 3: dei- 4: den- 5: de:-]	
671	Kulung	dekma	large snake	 sāp.	n.	513
672	Kulung	delma	pull out, pull up	 ukhelnu.	vt-4 [1: del- 2: dell- 3: del-]	583
673	Kulung	dema	be big	 ṭhūlo hunu.	vi-3 [1: dei- 2: de-]	382
674	Kulung	demde	1. mother's elder sister 2. wife of father's elder brother	 ṭhu āmā.	n.	
675	Kulung	demma	cover, cover up	 ḍhāknu, chopnu.	vt-4 [1: dep- 2: depp- 3: dem-]	795
676	Kulung	demmǝma	grandmother's elder sister.		n.	
677	Kulung	depa	big, fat	 ṭhūlo, moṭo.	adj.	382
678	Kulung	depi	for how much?	 kati-mā.	pron.	
679	Kulung	depphǝpa	grandfather's elder brother.		n.	
680	Kulung	deppɔi	how many (with human classifier)	 kati-janā.	pron.	
681	Kulung	jɔ:ma	plough	 jotnu.	vt-4 [1: jɔN- 2: jɔNN- 3: jɔ:-]	303
682	Kulung	jɔwa	peacock	 mujur.	n.	314
683	Kulung	juima	warm oneself at the fire	 āgo tāpnu.	vt-5 [1: jui- 2: juiy- 3: jui- 4: jun- 5: ju:-]	309
684	Kulung	jujurpa	sour	 amilo.	adj.	308
685	Kulung	jujuryɔ	very sour	 dherai amilo..	adj.	308
686	Kulung	jula	fibre for making fire with a flint	 jhulo.	n.	
687	Kulung	ju:ma	jump (on), flee	 hāmphālnu, bhāgnu.	vi-3 [1: juk- 2: ju:-]	300
688	Kulung	jurma	be sour	 amilo hunu.	vi-1 [1: jur-]	308
689	Kulung	kai	calf of the leg	 piṃḍulā.	n.	
690	Kulung	kaima	frequent, come and go again and again	 dhāunu.	vt-4 [1: kan- 2: kann- 3: kai-]	
691	Kulung	kaima	have leisure	 phursat hunu.	vi-4 [1: kat- 2: kai- 3: kan-]	
692	Kulung	kaima	be spilled, poured out	 pokhinu.	vi-6 [1: kat- 2: kai- 3: katt- 4: kan- 5: ka:-]	193
693	Kulung	kaima	spill, pour out	 pokhāunu.	vt-5 [1: kat- 2: katt- 3: kai- 4: kan- 5: ka:-]	802
694	Kulung	kalakstɔm	cliff, precipice, steep slope	 bhīr.	n.	
695	Kulung	kama	make noise, shout, squeal (pig, goat), sing (of a bird), rumble (of one's belly)	 karāunu.	vi-7 [1: kɔi- 2: kɔ- 3: kai- 4: ka-]	
696	Kulung	kamma	set (of sun, moon, stars and planets)	astāunu	vi-1 [1: kam-]	803
697	Kulung	kamma	fit, meet, join (vertically)	 milāunu, joḍnu.	vt-2 [1: kaps- 2: kam-]	91
698	Kulung	kaN	tooth	 dāṃt.	n.	971
699	Kulung	ka:ma	hang, hang from	 jhuṇḍinu.	vi-3 [1: kaks- 2: ka:-]	146
700	Kulung	ka:ma	hang, hang on, suspend	 jhuṇḍyāunu.	vt-2 [1: kaks- 2: ka:-]	146
701	Kulung	kharpɔwa	the walnut-tree Juglans regia	 okhar.	n.	80
702	Kulung	kharsi	1. walnut 2. ankle	1. okhar. 2. golīgāṃṭhā.	n.	80
703	Kulung	khas	porcupine	 dumsī.	n.	184
704	Kulung	khe	yam, potato (archaic)	 ālu.	n.	72
705	Kulung	kheba	dog	 kukur.	n.	137
706	Kulung	kheima	break, be broken, crack	 phuṭnu.	vi-4 [1: khet- 2: khei- 3: khen-]	
707	Kulung	kheima	break, crack	 phuṭāunu.	vt-5 [1: khet- 2: khett- 3: khei- 4: khen- 5: khe:-]	
708	Kulung	kheima	buy	 kinnu.	vt-5 [1: khet- 2: khett- 3: khei- 4: khen- 5: khe:-]	807
709	Kulung	khelwa	kind of bird.		n.	
710	Kulung	khema	quarrel, fight	 jhagaḍā garnu.	vi-3 [1: khei- 2: khe-]	808
711	Kulung	khemma	cut, cut through (e.g. potato), shred	 kāṭnu.	vt-4 [1: khep- 2: khepp- 3: khem-]	151
712	Kulung	khemɔ	in four years' time	 cār varṣa pachi.	adv.	
713	Kulung	khemu	loosely woven rectangular bamboo basket for sifting grains or graining potatoes.		n.	
714	Kulung	khena	well	 ani.	interj.	
715	Kulung	kheplem	money (archaic).		n.	
716	Kulung	khepme	bitch, female dog	 kukurnī.	n.	137
717	Kulung	kher	wound	 ghāu.	n.	200
718	Kulung	khetthum	in four days.		adv.	
