NUMBER	concept	tbl_id	concepticon_id	gloss_in_source	ipa	note	tokens	source
195	the son	220	1620	son (n.)	fapa , ram chungmi		f a p a	VanBick2014
196	the sparrow	336	1854	sparrow (n.)	pithlung		p i th l u n g	VanBick2014
197	the spider	361	843	spider (n.)	sawmpalak , maimomh		s a w m p a l a k	VanBick2014
198	to spit	1688	1440	spit (v.)	cilchak.		c i l ch a k	VanBick2014
199	to stand	1784	1442	stand (v.)	1. dir. 	2. a tung in chiah; e.g. Please stand the box here = Hika ah hin thingkuang kha a tung in chia. 3. hmunkhat i umpeng; e.g. The old house stands (has stood) here for 100 years = Inn hlun hi hika ah hin kum za khat a dir cang. 4. cawnak i kir hmun; e.g. He stood first in his class = Amah tang chungah pakhatnak a si. 5. in, tuar; e.g. Many plants cannot stand the cold = Ramkung tampi nih cun khuasik an ing kho lo; thlen lo; e.g. I cannot stand the smell = Cu rim cu ka ing kho lo. 6. dir; e.g. The thermometer stands at 92* F. = Kihlum tahnak cu 92* F. dikiri 92* ah a dir. 7. tun; e.g. Stand the ladder against the wall = Vampang ah khan arhlei kha hei tung. Let the words	d i r	VanBick2014
200	the star	5	1430	star (n.)	deirel arfi		d e i r e l	VanBick2014
201	to steal	1686	713	steal (v.)	1. fir. 	2. a thli tein chuah ziar.	f i r	VanBick2014
202	the stick	586	1295	stick (n.)	1. fung. 	2. thinghreu. 3. thiangthunh.	f u ng	VanBick2014
203	the stone (a piece of)	43	857	stone (n.)	lung		l u n g	VanBick2014
204	straight	1003	1404	straight (adv.)	1. dairek in pialpah loin; 	e.g. He went straight home = Khuazeihmanh ah pial pah loin inn ah a kal. 2. fiang tein, thuhphenhmi zeihmanh um loin; straight away = khulrang in.	d a i r e k	VanBick2014
205	the sun	2	1343	sun (n.)	ni, nika.		n I	VanBick2014
206	the tail	267	1220	tail (n.)	mei , uico mei , vok mei ti bantuk		m e i	VanBick2014
207	ten	806	1515	ten (num.)	pahra.		p a h r a	VanBick2014
208	that	947	78	that (pron.)	kha;  e.g. She is the girl that sells the books = Amah cu cauk zuartu kha a si. Bring the box that has the lid = Chin a ngeimi thingkuang kha rak pu.		kh a	VanBick2014
209	there	950	1937	there (pron.)	1. khika ti sullam a si lomi in hmannak;  e.g. There is a book on the table = Cabuai cungah cauk a um. 2. ngai hmanh, ti a can ah hman; e.g. There goes the bell = Darkhing an tum cuh. there		kh i k a	VanBick2014
210	thick	980	1244	thick (adj.)	1. a chahmi.  2. taimpi; e.g. Bullets came thick as hail = Kuanfang cu rial tlak in an rung tla; through thick and thin = zeiti thil a um paoh zongah; e.g. A true friend sticks through thick and thin = Zei bantukin thil a si hmanh ah, hawikom ttha taktak cu fel tein a um ko.		ch a hm i	VanBick2014
211	the thigh	100	800	thigh (n.)	phei.		 ph e i	VanBick2014
212	thin (object)	981	2307	thin (adj.)	1. a panmi. 	2. a dermi. 3. a tlawmmi.	p a n m i	VanBick2014
213	to think (reflect)	1726	1415	think (v.)	ruah		r u a h	VanBick2014
214	this	942	1214	this (pron.)	hihi; 	e.g. This is my mother = Hihi ka nu a si. this much = hi zat.	h i h i	VanBick2014
215	thou [second person singular]	931	1215	thou (pron.)	nangmah.		n a ng m a h	VanBick2014
216	three	799	492	three (num.)	pathum		p a th u m	VanBick2014
217	to throw	1687	1456	throw (v.)	1. hlonh. 	2. cheh. 3. citmi cungin tlak; e.g. He was thrown from his horse = A rang cungin a tla. 4. thlak; e.g. He was thrown into prison = Thong ah an thlak.	hl o nh	VanBick2014
218	the thunder	8	1150	thunder (n.)	khuari		kh u a r i	VanBick2014
219	the tiger	304	846	tiger (n.)	pawpi		p a w p i	VanBick2014
220	today	738	1283	today (adv.)	nihin , tuchun		n i h i n	VanBick2014
221	tomorrow	742	1329	tomorrow (n., adv.)	thaizing.		th a i z i ng	VanBick2014
222	the tongue	139	1205	tongue (n.)	1. lei. 	2. holh; hold your tongue = holh hlah.	l e i	VanBick2014
223	the tooth (front)	137	1380	tooth (n.)	1. ha pakhat. 	2. ha a lomi, samthih ha, hluah ha; to fight tooth and nail = ke he tin he thazang a dih umnak in doh.	h a + p a kh a t	VanBick2014
223	the tooth (front)	137	1380	tooth (n.)	hapi deng		h a p i + d e ng	VanBick2014
224	the tree	372	906	tree (n.)	thingkung		th i ng k u ng	VanBick2014
225	twenty	816	1710	twenty (num.)	pakul		p a k u l	VanBick2014
226	two	798	1498	two (num.)	pahnih		p a h n i h	VanBick2014
227	to vomit	1535	1278	vomit (v.)	luak.		l u a k	VanBick2014
228	to walk	1815	1443	walk (v.)	ke in kal		k e	VanBick2014
229	the water	47	948	water (n.)	ti		t i	VanBick2014
230	we [first person plural inclusive]	930	1131	we (pron.)	1. kanmah; 	2. kan, synonym of kanmah.	k a n m a h	VanBick2014
231	wet	1029	1726	wet (adj.)	a cin, a ro lo		c i n	VanBick2014
232	what	954	1236	what (pron.)	1. zeidah?; 	e.g. What books are you reading = Zei cauk dah na rel len ko hna? 2. (relative pron.) mi; e.g. I do not know what you are saying = Na chimmi ka hngla lo.	z e i d a h	VanBick2014
233	the wheat	410	1077	wheat (n.)	changvut kung		ch a ng v u t	VanBick2014
234	where	955	1237	where (adv.)	khuazei ah dah; 	e.g. Where do you live = Khuazei ah dah na um?	k h ua z ei	VanBick2014
235	white	1006	1335	white (adj.)	a rang (raang), hawhra mui a simi. white		r a ng	VanBick2014
236	who	953	1235	who (pron.)	ahodah		a h o d a h	VanBick2014
237	the wife	248	1199	wife (n.)	nupi		n u p i	VanBick2014
238	the wind	9	960	wind (n.)	thli.		th l i	VanBick2014
239	the wing	298	1257	wing (n.)	vate thla, thla; 	e.g. A bird has two wings = Vate nih thla pahnih a ngei.	v a t e	VanBick2014
240	to wipe	1163	1454	wipe (v.)	hnawh; e.g. She wipes her tears = A mitthli aa hnawt; wipe out = hrawh dih cikcek.		hn a wh	VanBick2014
241	the wolf	324	522	wolf (n.)	cenghngia ngan phun , ttih a nung ngaimi hngartlai		c e ng hn g ia	VanBick2014
242	the woman	174	962	woman (n.)	nu, hringtu nu si loin nu paohpaoh		n u	VanBick2014
243	the wood (material)	511	1803	wood (n.)	1. thing a sa; e.g. firewood = tih thing. 2. ramlak thing tamnak hmun.		th i ng	VanBick2014
244	to sow (broadcast, scatter seeds)	1597	748	sow (v.)	1. thlaici tuh. 2. thlaici vorh.		th l a i c i	VanBick2014
245	the year	777	1226	year (n.)	kum; e.g. He is twenty years old = Amah cu kum kul a si. year		k u m	VanBick2014
246	yellow	1008	1424	yellow (adj.)	theithu zawng , aihre zawng		th e i th u	VanBick2014
247	yesterday	739	1174	yesterday (n., adv.)	nizan		n i z a n	VanBick2014
248	you [second person plural]	933	1213	you (pron.)	1.nangmah. 2. nanmah.		n a n g m a h	VanBick2014
249	young	1059	1207	young (adj.)	a kum a nomi		k u m	VanBick2014
250	the shit	151	676	excrement (n.)	ek		e k	VanBick2014
