ID	Concept	Dashi	Ega	Enqi	Eryuan	Gongxing	Heqi	Jianchuan	Jinman	Jinxing	Lanping	Luobenzhuo	Mazhelong	Qiliqiao	Tuoluo	Xiangyun	Yunlong	Zhoucheng
188	earth quake	earth quake	earth quake	earth quake	-	earth quake	-	-	earth quake	earth quake	-	-	earth quake	-	earth quake	-	-	-
189	earthworm;worm	earthworm;worm	earthworm;worm	earthworm;worm	earthworm;worm	earthworm;worm	earthworm;worm	earthworm;worm	earthworm;worm	earthworm;worm	earthworm;worm	earthworm;worm	earthworm;worm	earthworm;worm	earthworm;worm	earthworm;worm	earthworm;worm	earthworm;worm
190	easy	easy	easy	easy	easy	easy	easy	easy	easy	easy	easy	easy	-	easy	easy	easy	easy	easy
191	eat	eat	eat	eat	eat	eat	eat	eat	eat	eat	eat	eat	eat	eat	eat	eat	eat	eat
192	egg	egg	egg	egg	egg	egg	egg	egg	egg	egg	egg	egg	egg	egg	-	egg	egg	egg
193	eight	eight	eight	eight	eight	eight	eight	eight	eight	eight	eight	eight	eight	eight	eight	eight	eight	eight
194	empty	empty	empty	empty	-	empty	-	-	empty	empty	-	-	empty	-	empty	-	-	-
195	escape; run away	escape; run away	escape; run away	escape; run away	-	escape; run away	-	-	escape; run away	escape; run away	-	-	escape; run away	-	escape; run away	-	-	escape; run away
196	exchange	exchange	-	exchange	-	exchange	-	-	-	-	-	-	-	-	exchange	-	-	-
197	excrement	excrement	excrement	excrement	-	excrement	-	-	excrement	excrement	-	-	excrement	-	excrement	-	-	excrement
198	expensive	-	-	-	expensive	-	expensive	expensive	-	-	expensive	expensive	-	expensive	-	expensive	expensive	-
199	eye	eye	eye	eye	eye	eye	eye	eye	eye	eye	eye	eye	eye	eye	eye	eye	eye	eye
200	face	-	-	-	face	-	face	face	-	-	face	face	-	face	-	face	face	-
201	faeces	-	-	-	faeces	-	faeces	faeces	-	-	faeces	faeces	-	faeces	-	faeces	faeces	-
202	fall down;drop	fall down;drop	fall down;drop	fall down;drop	fall down;drop	fall down;drop	fall down;drop	fall down;drop	fall down;drop	fall down;drop	fall down;drop	fall down;drop	fall down;drop	fall down;drop	fall down;drop	fall down;drop	fall down;drop	fall down;drop
203	family	-	-	-	family	-	family	family	-	-	family	family	-	family	-	family	family	-
204	far	far	far	far	far	far	far	far	far	far	far	far	far	far	far	far	far	far
205	fart	fart	fart	fart	-	fart	-	-	fart	fart	-	-	fart	-	fart	-	-	-
206	fat	fat	fat	fat	fat	fat	fat	fat	fat	fat	fat	fat	fat	fat	fat	fat	fat	fat
207	fat(pig)	-	-	-	fat(pig)	-	fat(pig)	fat(pig)	-	-	fat(pig)	fat(pig)	-	fat(pig)	-	fat(pig)	fat(pig)	-
208	father	-	-	-	father	-	father	father	-	-	father	father	-	father	father	father	father	-
209	fear	-	-	-	fear	-	fear	fear	-	-	fear	fear	-	fear	-	fear	fear	-
210	feather	-	-	-	feather	-	feather	feather	-	-	feather	feather	-	feather	-	feather	feather	-
211	feed(fatten up)	-	-	-	feed(fatten up)	-	feed(fatten up)	feed(fatten up)	-	-	feed(fatten up)	feed(fatten up)	-	feed(fatten up)	-	feed(fatten up)	feed(fatten up)	-
212	female genitals	female genitals	female genitals	female genitals	-	female genitals	-	-	female genitals	female genitals	-	-	-	-	female genitals	-	-	-
213	fertilizer; manure	fertilizer; manure	fertilizer; manure	fertilizer; manure	-	fertilizer; manure	-	-	fertilizer; manure	fertilizer; manure	-	-	fertilizer; manure	-	fertilizer; manure	-	-	fertilizer; manure
214	few	-	-	-	few	-	few	few	-	-	few	few	-	few	-	few	few	-
215	field meadow	-	-	-	field meadow	-	field meadow	field meadow	-	-	field meadow	field meadow	-	field meadow	-	field meadow	field meadow	-
216	fight	fight	fight	fight	-	fight	-	-	fight	fight	-	-	fight	-	fight	-	-	fight
217	fill (a bowl with rice)	fill (a bowl with rice)	fill (a bowl with rice)	fill (a bowl with rice)	-	fill (a bowl with rice)	-	-	fill (a bowl with rice)	fill (a bowl with rice)	-	-	fill (a bowl with rice)	-	fill (a bowl with rice)	-	-	fill (a bowl with rice)
218	finger	finger	finger	finger	finger	finger	finger	finger	finger	finger	finger	finger	finger	finger	finger	finger	finger	finger
219	finger-nail	finger-nail	finger-nail	finger-nail	finger-nail	finger-nail	finger-nail	finger-nail	finger-nail	finger-nail	finger-nail	finger-nail	finger-nail	finger-nail	finger-nail	finger-nail	finger-nail	finger-nail
220	fire	fire	fire	fire	fire	fire	fire	fire	fire	fire	fire	fire	fire	fire	fire	fire	fire	fire
221	firewood	firewood	firewood	firewood	firewood	firewood	firewood	firewood	firewood	firewood	firewood	firewood	firewood	firewood	firewood	firewood	firewood	firewood
222	first	-	-	-	first	-	first	first	-	-	first	first	-	first	-	first	first	-
223	first month(lunar)	-	-	-	first month(lunar)	-	first month(lunar)	first month(lunar)	-	-	first month(lunar)	first month(lunar)	-	first month(lunar)	-	first month(lunar)	first month(lunar)	-
224	fish	fish	fish	fish	fish	fish	fish	fish	fish	fish	fish	fish	fish	fish	fish	fish	fish	fish
225	five	five	five	five	five	five	five	five	five	five	five	five	-	five	five	five	five	five
226	flea	-	-	-	flea	-	flea	flea	-	-	flea	flea	-	flea	-	flea	flea	-
227	flee	-	-	-	flee	-	flee	flee	-	-	flee	flee	-	flee	-	flee	flee	-
228	fling; toss	fling; toss	fling; toss	fling; toss	-	fling; toss	-	-	fling; toss	fling; toss	-	-	fling; toss	-	fling; toss	-	-	-
229	float	float	float	float	-	float	-	-	float	float	-	-	float	-	float	-	-	float
230	flower	-	-	-	flower	-	flower	flower	-	-	flower	flower	-	flower	-	flower	flower	-
231	fly	fly	fly	fly	-	fly	-	-	fly	fly	-	-	fly	-	fly	-	-	fly
232	fly(insect)	-	-	-	fly(insect)	-	fly(insect)	fly(insect)	-	-	fly(insect)	fly(insect)	-	fly(insect)	-	fly(insect)	fly(insect)	-
233	fog	-	-	-	fog	-	fog	fog	-	-	fog	fog	-	fog	-	fog	fog	-
234	folk song	-	-	-	folk song	-	folk song	folk song	-	-	folk song	folk song	-	folk song	-	folk song	folk song	-
235	foot	foot	foot	foot	foot	foot	foot	foot	foot	foot	foot	foot	foot	foot	foot	foot	foot	foot
236	forest	forest	forest	forest	-	forest	-	-	forest	forest	-	-	forest	-	forest	-	-	forest
237	forget	-	-	-	forget	-	forget	forget	-	-	forget	forget	-	forget	-	forget	forget	-
238	four	four	four	four	four	four	four	four	four	four	four	four	four	four	four	four	four	four
239	fragrant	fragrant	fragrant	fragrant	fragrant	fragrant	fragrant	fragrant	fragrant	fragrant	fragrant	fragrant	fragrant	fragrant	fragrant	fragrant	fragrant	fragrant
240	fraud	fraud	fraud	fraud	-	-	-	-	fraud	fraud	-	-	fraud	-	fraud	-	-	fraud
241	friend	friend	friend	friend	-	friend	-	-	friend	friend	-	-	friend	-	friend	-	-	friend
242	frog	frog	frog	frog	frog	frog	frog	frog	frog	frog	frog	frog	frog	frog	frog	frog	frog	frog
243	frost	frost	frost	frost	frost	frost	frost	frost	frost	frost	frost	frost	frost	frost	frost	frost	frost	frost
244	fruit	-	-	-	fruit	-	fruit	fruit	-	-	fruit	fruit	-	fruit	-	fruit	fruit	-
245	full	-	-	-	full	-	full	full	-	-	full	full	-	full	-	full	full	-
246	fully recover (from an illness)	fully recover (from an illness)	-	fully recover (from an illness)	-	fully recover (from an illness)	-	-	-	fully recover (from an illness)	-	-	fully recover (from an illness)	-	fully recover (from an illness)	-	-	fully recover (from an illness)
247	garden (plot)	garden (plot)	garden (plot)	garden (plot)	-	garden (plot)	-	-	garden (plot)	garden (plot)	-	-	garden (plot)	-	garden (plot)	-	-	garden (plot)
248	garlic	garlic	garlic	garlic	-	garlic	-	-	garlic	garlic	-	-	garlic	-	garlic	-	-	garlic
249	get; acquire	get; acquire	get; acquire	get; acquire	-	get; acquire	-	-	get; acquire	get; acquire	-	-	get; acquire	-	get; acquire	-	-	get; acquire
250	ghost	ghost	ghost	ghost	ghost	ghost	ghost	ghost	ghost	ghost	ghost	ghost	ghost	ghost	-	ghost	ghost	ghost
251	ginger	ginger	ginger	ginger	-	ginger	-	-	ginger	ginger	-	-	ginger	-	ginger	-	-	ginger
252	give	give	give	give	-	give	-	-	give	give	-	-	give	-	give	-	-	give
253	give birth	-	-	-	give birth	-	give birth	give birth	-	-	give birth	give birth	-	give birth	-	give birth	give birth	-
254	glutinous rice	glutinous rice	glutinous rice	glutinous rice	glutinous rice	glutinous rice	glutinous rice	glutinous rice	glutinous rice	glutinous rice	glutinous rice	glutinous rice	glutinous rice	glutinous rice	glutinous rice	glutinous rice	glutinous rice	glutinous rice
255	go	-	-	-	go	-	go	go	-	-	go	go	-	go	-	go	go	-
256	go in	-	-	-	go in	-	go in	go in	-	-	go in	go in	-	go in	-	go in	go in	-
257	go out	-	-	-	go out	-	go out	go out	-	-	go out	go out	-	go out	-	go out	go out	-
258	gold	gold	gold	gold	-	gold	-	-	gold	gold	-	-	gold	-	gold	-	-	gold
259	good	good	good	good	good	good	good	good	good	good	good	good	good	good	good	good	good	good
260	grandfather	-	-	-	grandfather	-	grandfather	grandfather	-	-	grandfather	grandfather	-	grandfather	-	grandfather	grandfather	-
261	grandmother	-	-	-	grandmother	-	grandmother	grandmother	-	-	grandmother	grandmother	-	grandmother	-	grandmother	grandmother	-
262	grandson	grandson	grandson	grandson	-	grandson	-	-	grandson	grandson	-	-	grandson	-	grandson	-	-	grandson
263	grass	-	-	-	grass	-	grass	grass	-	-	grass	grass	-	grass	-	grass	grass	-
264	green	-	-	-	green	-	green	green	-	-	green	green	-	green	-	green	green	-
265	grind	grind	grind	grind	grind	grind	grind	grind	grind	grind	grind	grind	grind	grind	grind	grind	grind	grind
266	grind(wheat)	-	-	-	grind(wheat)	-	grind(wheat)	grind(wheat)	-	-	grind(wheat)	grind(wheat)	-	grind(wheat)	-	grind(wheat)	grind(wheat)	-
267	grow(of people)	-	-	-	grow(of people)	-	grow(of people)	grow(of people)	-	-	grow(of people)	grow(of people)	-	grow(of people)	-	grow(of people)	grow(of people)	-
268	guess	-	-	-	guess	-	guess	guess	-	-	guess	guess	-	guess	-	guess	guess	-
269	guest	guest	guest	guest	-	guest	-	-	guest	guest	-	-	guest	-	guest	-	-	guest
270	hail	-	-	-	hail	-	hail	hail	-	-	hail	hail	-	hail	-	hail	hail	-
271	hair	hair	hair	hair	hair	hair	hair	hair	hair	hair	hair	hair	hair	hair	hair	hair	hair	hair
272	Han Chinese	Han Chinese	Han Chinese	Han Chinese	-	Han Chinese	-	-	Han Chinese	Han Chinese	-	-	-	-	Han Chinese	-	-	-
273	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand	hand
274	hang out(clothes)	-	-	-	hang out(clothes)	-	hang out(clothes)	hang out(clothes)	-	-	hang out(clothes)	hang out(clothes)	-	hang out(clothes)	-	hang out(clothes)	hang out(clothes)	-
275	hard	-	-	-	hard	-	hard	hard	-	-	hard	hard	-	hard	-	hard	hard	-
276	hare,rabbit	-	-	-	hare,rabbit	-	hare,rabbit	hare,rabbit	-	-	hare,rabbit	hare,rabbit	-	hare,rabbit	-	hare,rabbit	hare,rabbit	-
277	hate	-	-	-	hate	-	hate	hate	-	-	hate	hate	-	hate	-	hate	hate	-
278	have (you) (you probably refers to 有)	have (you) (you probably refers to 有)	have (you) (you probably refers to 有)	have (you) (you probably refers to 有)	-	have (you) (you probably refers to 有)	-	-	have (you) (you probably refers to 有)	have (you) (you probably refers to 有)	-	-	have (you) (you probably refers to 有)	-	have (you) (you probably refers to 有)	-	-	have (you) (you probably refers to 有)
279	have eaten one's fill	have eaten one's fill	have eaten one's fill	have eaten one's fill	-	have eaten one's fill	-	-	have eaten one's fill	have eaten one's fill	-	-	have eaten one's fill	-	have eaten one's fill	-	-	have eaten one's fill
280	he;she;it	he;she;it	he;she;it	he;she;it	he;she;it	he;she;it	he;she;it	he;she;it	he;she;it	he;she;it	he;she;it	he;she;it	he;she;it	he;she;it	he;she;it	he;she;it	he;she;it	he;she;it
281	head	head	head	head	head	head	head	head	head	head	head	head	head	head	head	head	head	head
282	heart	heart	heart	heart	heart	heart	heart	heart	heart	heart	heart	heart	heart	heart	heart	heart	heart	heart
283	heat up (cold rice)	heat up (cold rice)	heat up (cold rice)	heat up (cold rice)	-	heat up (cold rice)	-	-	heat up (cold rice)	heat up (cold rice)	-	-	heat up (cold rice)	-	heat up (cold rice)	-	-	heat up (cold rice)
284	heavy	heavy	heavy	heavy	heavy	heavy	heavy	heavy	heavy	heavy	heavy	heavy	heavy	heavy	heavy	heavy	heavy	heavy
285	hedgehog	-	-	hedgehog	-	hedgehog	-	-	hedgehog	-	-	-	hedgehog	-	hedgehog	-	-	hedgehog
286	help	-	-	-	help	-	help	help	-	-	help	help	-	help	-	help	help	-
287	hemp	hemp	-	hemp	hemp	hemp	hemp	hemp	-	hemp	hemp	hemp	hemp	hemp	hemp	hemp	hemp	-
288	hemp cloth	-	-	-	hemp cloth	-	hemp cloth	hemp cloth	-	-	hemp cloth	hemp cloth	-	hemp cloth	-	hemp cloth	hemp cloth	-
289	here	-	-	-	here	-	here	here	-	-	here	here	-	here	-	here	here	-
290	hide	hide	hide	hide	hide	hide	hide	hide	hide	hide	hide	hide	hide	hide	hide	hide	hide	hide
291	high;tall	high;tall	high;tall	high;tall	high;tall	high;tall	high;tall	high;tall	high;tall	high;tall	high;tall	high;tall	high;tall	high;tall	high;tall	high;tall	high;tall	high;tall
292	hillside; mountain slope	hillside; mountain slope	hillside; mountain slope	hillside; mountain slope	-	hillside; mountain slope	-	-	hillside; mountain slope	hillside; mountain slope	-	-	hillside; mountain slope	-	hillside; mountain slope	-	-	hillside; mountain slope
293	his/her	-	-	-	his/her	-	his/her	his/her	-	-	his/her	his/her	-	his/her	-	his/her	his/her	-
294	hit(table)	-	-	-	hit(table)	-	hit(table)	hit(table)	-	-	hit(table)	hit(table)	-	hit(table)	-	hit(table)	hit(table)	-
295	hoe	hoe	hoe	hoe	hoe	hoe	hoe	hoe	hoe	hoe	hoe	hoe	hoe	hoe	hoe	hoe	hoe	hoe
296	hold;take	-	-	-	hold;take	-	hold;take	hold;take	-	-	hold;take	hold;take	-	hold;take	-	hold;take	hold;take	-
297	hoof	hoof	hoof	hoof	-	hoof	-	-	hoof	hoof	-	-	hoof	-	hoof	-	-	hoof
298	horn	horn	horn	horn	horn	horn	horn	horn	horn	horn	horn	horn	horn	horn	horn	horn	horn	horn
299	horse	horse	horse	horse	horse	horse	horse	horse	horse	horse	horse	horse	horse	horse	horse	horse	horse	horse
300	horse mane	-	-	horse mane	-	horse mane	-	-	horse mane	horse mane	-	-	-	-	horse mane	-	-	-
301	hot	hot	hot	hot	hot	hot	hot	hot	hot	hot	hot	hot	hot	hot	hot	hot	hot	hot
302	house	house	house	house	house	house	house	house	house	house	house	house	house	house	house	house	house	house
303	how	-	-	-	-	-	how	how	-	-	how	how	-	how	-	-	how	-
304	how many	-	-	-	how many	-	how many	how many	-	-	how many	how many	-	how many	-	how many	how many	-
305	hug	hug	hug	hug	-	hug	-	-	hug	hug	-	-	hug	-	hug	-	-	hug
306	hundred	hundred	hundred	hundred	hundred	hundred	hundred	hundred	hundred	hundred	hundred	hundred	hundred	hundred	hundred	hundred	hundred	hundred
307	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i	i
308	ice	ice	ice	ice	-	ice	-	-	ice	ice	-	-	ice	-	ice	-	-	ice
309	ill;sick	ill;sick	ill;sick	ill;sick	ill;sick	ill;sick	ill;sick	ill;sick	ill;sick	ill;sick	ill;sick	ill;sick	ill;sick	ill;sick	ill;sick	ill;sick	ill;sick	ill;sick
310	in front	-	-	-	in front	-	in front	in front	-	-	in front	in front	-	in front	-	in front	in front	-
311	in;inside	-	-	-	in;inside	-	in;inside	in;inside	-	-	in;inside	in;inside	-	in;inside	-	in;inside	in;inside	-
312	incubate	-	-	-	incubate	-	incubate	incubate	-	-	incubate	incubate	-	incubate	-	incubate	incubate	-
313	insect,bug	-	-	-	insect,bug	-	insect,bug	insect,bug	-	-	insect,bug	insect,bug	-	insect,bug	-	insect,bug	insect,bug	-
314	interest	interest	interest	interest	interest	interest	interest	interest	interest	interest	interest	interest	interest	interest	interest	interest	interest	interest
315	intestine;gut	intestine;gut	intestine;gut	intestine;gut	intestine;gut	intestine;gut	intestine;gut	intestine;gut	intestine;gut	intestine;gut	intestine;gut	intestine;gut	intestine;gut	intestine;gut	intestine;gut	intestine;gut	intestine;gut	intestine;gut
316	iron	iron	iron	iron	-	iron	-	-	iron	iron	-	-	iron	-	iron	-	-	iron
317	is	-	-	-	is	-	is	is	-	-	is	is	-	is	-	is	is	-
318	itch	itch	itch	itch	-	itch	-	-	itch	itch	-	-	itch	-	itch	-	-	itch
319	jar	-	jar	jar	-	jar	-	-	jar	-	-	-	jar	-	-	-	-	jar
320	just now	-	-	-	just now	-	just now	just now	-	-	just now	just now	-	just now	-	just now	just now	-
321	kettle; pot	kettle; pot	kettle; pot	kettle; pot	-	kettle; pot	-	-	kettle; pot	kettle; pot	-	-	kettle; pot	-	kettle; pot	-	-	-
322	key	key	key	key	key	key	key	key	key	key	key	key	key	key	key	key	key	key
323	kick	-	-	-	kick	-	kick	kick	-	-	kick	kick	-	kick	-	kick	kick	-
324	kidney	-	-	-	kidney	-	kidney	kidney	-	-	kidney	kidney	-	kidney	-	kidney	kidney	-
325	knee	-	-	-	knee	-	knee	knee	-	-	knee	knee	-	knee	-	knee	knee	-
326	kneel	kneel	kneel	kneel	kneel	kneel	kneel	kneel	kneel	kneel	kneel	kneel	kneel	kneel	kneel	kneel	kneel	kneel
327	knife	-	-	-	knife	-	knife	knife	-	-	knife	knife	-	knife	-	knife	knife	-
328	know	-	-	-	know	-	know	know	-	-	know	know	-	know	-	know	know	-
329	labour	-	-	-	labour	-	labour	labour	-	-	labour	labour	-	labour	-	labour	labour	-
330	ladder	-	-	-	ladder	-	ladder	ladder	-	-	ladder	ladder	-	ladder	-	ladder	ladder	-
331	ladle	ladle	ladle	ladle	-	ladle	-	-	ladle	ladle	-	-	ladle	-	ladle	-	-	ladle
332	lake	lake	lake	lake	lake	lake	lake	lake	lake	lake	lake	lake	lake	lake	lake	lake	lake	lake
333	last year	-	-	-	last year	-	last year	last year	-	-	last year	last year	-	last year	-	last year	last year	-
334	late	late	late	late	late	late	late	late	late	late	late	late	late	late	late	late	late	late
335	laugh	laugh	laugh	laugh	laugh	laugh	laugh	laugh	laugh	laugh	laugh	laugh	laugh	laugh	laugh	laugh	laugh	laugh
336	lay (eggs)	lay (eggs)	lay (eggs)	lay (eggs)	-	lay (eggs)	-	-	lay (eggs)	lay (eggs)	-	-	lay (eggs)	-	lay (eggs)	-	-	lay (eggs)
337	lay aside	-	-	-	lay aside	-	lay aside	lay aside	-	-	lay aside	lay aside	-	lay aside	-	lay aside	lay aside	-
338	lazy	-	-	-	lazy	-	lazy	lazy	-	-	lazy	lazy	-	lazy	-	lazy	lazy	-
339	lead;pull	lead;pull	lead;pull	lead;pull	lead;pull	lead;pull	lead;pull	lead;pull	lead;pull	lead;pull	lead;pull	lead;pull	lead;pull	lead;pull	lead;pull	lead;pull	lead;pull	lead;pull
340	leaf	leaf	leaf	leaf	leaf	-	leaf	leaf	-	leaf	leaf	leaf	leaf	leaf	leaf	leaf	leaf	leaf
341	leech	leech	leech	leech	leech	leech	leech	leech	leech	leech	leech	leech	leech	leech	leech	leech	leech	leech
342	left side	left side	left side	left side	left side	left side	left side	left side	left side	left side	left side	left side	left side	left side	left side	left side	left side	left side
343	leg	leg	leg	leg	-	leg	-	-	leg	leg	-	-	leg	-	leg	-	-	leg
344	leopard; panther	leopard; panther	-	leopard; panther	-	leopard; panther	-	-	leopard; panther	leopard; panther	-	-	leopard; panther	-	leopard; panther	-	-	leopard; panther
345	lick, lap	lick, lap	lick, lap	lick, lap	-	lick, lap	-	-	lick, lap	lick, lap	-	-	lick, lap	-	lick, lap	-	-	lick, lap
346	lift (the lid)	lift (the lid)	lift (the lid)	lift (the lid)	-	lift (the lid)	-	-	lift (the lid)	lift (the lid)	-	-	lift (the lid)	-	lift (the lid)	-	-	lift (the lid)
347	light 1	light 1	light 1	light 1	light 1	light 1	light 1	light 1	light 1	light 1	light 1	light 1	light 1	light 1	light 1	light 1	light 1	light 1
348	light(lamp)	-	-	-	light(lamp)	-	light(lamp)	light(lamp)	-	-	light(lamp)	light(lamp)	-	light(lamp)	-	light(lamp)	light(lamp)	-
349	light,bright	-	-	-	light,bright	-	light,bright	light,bright	-	-	light,bright	light,bright	-	light,bright	-	light,bright	light,bright	-
350	lightning(vb)	-	-	-	lightning(vb)	-	lightning(vb)	lightning(vb)	-	-	lightning(vb)	lightning(vb)	-	lightning(vb)	-	lightning(vb)	lightning(vb)	-
351	like	-	-	-	like	-	like	like	-	-	like	like	-	like	-	like	like	-
352	listen;hear	listen;hear	listen;hear	listen;hear	listen;hear	listen;hear	listen;hear	listen;hear	listen;hear	listen;hear	listen;hear	listen;hear	listen;hear	listen;hear	listen;hear	listen;hear	listen;hear	listen;hear
353	live; reside	live; reside	live; reside	live; reside	-	live; reside	-	-	live; reside	live; reside	-	-	live; reside	-	live; reside	-	-	live; reside
354	liver	liver	liver	liver	liver	liver	liver	liver	liver	liver	liver	liver	liver	liver	liver	liver	liver	liver
355	lock	lock	lock	lock	lock	lock	lock	lock	lock	lock	lock	lock	lock	lock	lock	lock	lock	lock
356	locust	-	-	-	locust	-	locust	locust	-	-	locust	locust	-	locust	-	locust	locust	-
357	long	long	long	long	long	long	long	long	long	long	long	long	long	long	long	long	long	long
358	look	-	-	-	look	-	look	look	-	-	look	look	-	look	-	look	look	-
359	look for	-	-	-	look for	-	look for	look for	-	-	look for	look for	-	look for	-	look for	look for	-
360	lose (a game)	lose (a game)	lose (a game)	lose (a game)	-	lose (a game)	-	-	lose (a game)	lose (a game)	-	-	lose (a game)	-	lose (a game)	-	-	lose (a game)
361	lose(can't find)	-	-	-	lose(can't find)	-	lose(can't find)	lose(can't find)	-	-	lose(can't find)	lose(can't find)	-	lose(can't find)	-	lose(can't find)	lose(can't find)	-
362	loud	loud	loud	loud	-	loud	-	-	loud	loud	-	-	loud	-	loud	-	-	-
363	louse	louse	louse	louse	louse	louse	louse	louse	louse	louse	louse	louse	louse	louse	louse	louse	louse	louse
364	love;like	love;like	love;like	love;like	love;like	love;like	love;like	love;like	love;like	love;like	love;like	love;like	love;like	love;like	love;like	love;like	love;like	love;like
365	low;short	low;short	low;short	low;short	low;short	low;short	low;short	low;short	low;short	low;short	low;short	low;short	low;short	low;short	low;short	low;short	low;short	low;short
366	lunch	-	-	-	lunch	-	lunch	lunch	-	-	lunch	lunch	-	lunch	-	lunch	lunch	-
367	lung	lung	lung	lung	lung	lung	lung	lung	lung	lung	lung	lung	lung	lung	lung	lung	lung	lung
368	maggot	maggot	maggot	maggot	-	maggot	-	-	maggot	maggot	-	-	maggot	-	maggot	-	-	maggot
369	magpie	-	-	-	magpie	-	magpie	magpie	-	-	magpie	magpie	-	magpie	-	magpie	magpie	-
370	man	man	man	man	-	man	-	-	man	man	-	-	man	-	man	-	-	man
371	many	many	many	many	many	many	many	many	many	many	many	many	many	many	many	many	many	many
372	mare	mare	mare	mare	-	mare	-	-	mare	mare	-	-	-	-	mare	-	-	mare
373	market	-	-	-	market	-	market	market	-	-	market	market	-	market	-	market	market	-
374	marry(of man)	-	-	-	marry(of man)	-	marry(of man)	marry(of man)	-	-	marry(of man)	marry(of man)	-	marry(of man)	-	marry(of man)	marry(of man)	-
375	marry(of woman)	-	-	-	marry(of woman)	-	marry(of woman)	marry(of woman)	-	-	marry(of woman)	marry(of woman)	-	marry(of woman)	-	marry(of woman)	marry(of woman)	-
376	matter	-	-	-	matter	-	matter	matter	-	-	matter	matter	-	matter	-	matter	matter	-
377	meat	meat	meat	meat	meat	meat	meat	meat	meat	meat	meat	meat	meat	meat	meat	meat	meat	meat
378	medicine	medicine	medicine	medicine	medicine	medicine	medicine	medicine	medicine	medicine	medicine	medicine	medicine	medicine	medicine	medicine	medicine	medicine
379	meet	-	-	-	meet	-	meet	meet	-	-	meet	meet	-	meet	-	meet	meet	-
380	mirror	-	-	-	mirror	-	mirror	mirror	-	-	mirror	mirror	-	mirror	-	mirror	mirror	-
381	money	-	-	-	money	-	money	money	-	-	money	money	-	money	-	money	money	-
382	monkey	monkey	monkey	monkey	monkey	monkey	monkey	monkey	monkey	monkey	monkey	monkey	-	monkey	monkey	monkey	monkey	monkey
383	month	month	month	month	month	month	month	month	month	month	month	month	month	month	month	month	month	month
384	moon	moon	moon	moon	moon	moon	moon	moon	moon	moon	moon	moon	moon	moon	moon	moon	moon	moon
385	morning	-	-	-	morning	-	morning	morning	-	-	morning	morning	-	morning	-	morning	morning	-
386	mosquito	mosquito	-	mosquito	mosquito	mosquito	mosquito	mosquito	mosquito	mosquito	mosquito	mosquito	mosquito	mosquito	mosquito	mosquito	mosquito	mosquito
387	mother	mother	mother	mother	mother	mother	mother	mother	mother	mother	mother	mother	mother	mother	mother	mother	mother	mother
388	mountain	mountain	mountain	-	mountain	mountain	mountain	mountain	mountain	mountain	mountain	mountain	mountain	mountain	mountain	mountain	mountain	mountain
389	mouse	mouse	mouse	mouse	mouse	mouse	mouse	mouse	mouse	mouse	mouse	mouse	mouse	mouse	mouse	mouse	mouse	mouse
390	mouth	-	-	-	mouth	-	mouth	mouth	-	-	mouth	mouth	-	mouth	-	mouth	mouth	-
391	mud	mud	mud	mud	-	mud	-	-	mud	mud	-	-	mud	-	mud	-	-	mud
392	muddy; turbid	muddy; turbid	muddy; turbid	muddy; turbid	-	muddy; turbid	-	-	muddy; turbid	muddy; turbid	-	-	muddy; turbid	-	muddy; turbid	-	-	muddy; turbid
393	muntjac; barking deer	-	muntjac; barking deer	muntjac; barking deer	-	muntjac; barking deer	-	-	muntjac; barking deer	-	-	-	muntjac; barking deer	-	muntjac; barking deer	-	-	muntjac; barking deer
394	mushroom	mushroom	mushroom	mushroom	mushroom	mushroom	mushroom	mushroom	mushroom	mushroom	mushroom	mushroom	mushroom	mushroom	mushroom	mushroom	mushroom	mushroom
395	musk	musk	musk	musk	-	musk	-	-	musk	musk	-	-	musk	-	musk	-	-	musk
396	must	-	-	-	must	-	must	must	-	-	must	must	-	must	-	must	must	-
397	my	-	-	-	my	-	my	my	-	-	my	my	-	my	-	my	my	-
398	nail; tack	nail; tack	nail; tack	nail; tack	-	nail; tack	-	-	nail; tack	nail; tack	-	-	nail; tack	-	nail; tack	-	-	nail; tack
399	name	name	name	name	name	name	name	name	name	name	name	name	name	name	name	name	name	name
400	narrow	narrow	narrow	narrow	-	narrow	-	-	narrow	narrow	-	-	narrow	-	narrow	-	-	narrow
401	navel	-	-	-	navel	-	navel	navel	-	-	navel	navel	-	navel	-	navel	navel	-
402	near	near	near	near	near	near	near	near	near	near	near	near	near	near	near	near	near	near
403	neck	-	-	-	neck	-	neck	neck	-	-	neck	neck	-	neck	-	neck	neck	-
404	needle	needle	needle	needle	-	needle	-	-	needle	needle	-	-	needle	-	needle	-	-	needle
405	nephew	nephew	nephew	nephew	-	nephew	-	-	nephew	nephew	-	-	nephew	-	nephew	-	-	nephew
406	new	new	new	new	new	new	new	new	new	new	new	new	new	new	new	new	new	new
407	next year	next year	next year	next year	-	next year	-	-	next year	next year	-	-	next year	-	next year	-	-	next year
408	nine	nine	nine	nine	nine	nine	nine	nine	nine	nine	nine	nine	nine	nine	nine	nine	nine	nine
409	noon	-	-	-	noon	-	noon	noon	-	-	noon	noon	-	noon	-	noon	noon	-
410	nose	-	-	-	nose	-	nose	nose	-	-	nose	nose	-	nose	-	nose	nose	-
