ID	ENGLISH	POS GLOSS
1465	brunette (n.)	sam a dummi nu
1466	brunt (n.)	a fahnak bik hmual
1467	brush (n.)	vok hmul tom thil hnawhnak i hmanmi , baras
1468	brush (v.)	baras in thil hnor , kedan tehna , angikleng tehna
1469	brusque (adj.)	mithmai panh lo ngaiin tawite tawite in biachimmi , bialeh
1470	brutal (adj.)	puar , hran , sahrang bantuk i um , zaangfahnak ngei lo tuk , thah , biachim
1471	brute (n.)	saram, ruahnak a ngei lomi; cu bantukin a ummi minung
1472	brutish (adj.)	saram tlukceo a simi.
1473	bubble (n.)	ti buanbara
1474	bubble (v.)	ti a luan i a awnh hliahmah khi
1475	buck (n.)	sakhi cal (pa)
1476	buck (v.)	lakhruak per
1477	bucket (n.)	baltin
1478	buckle (v.)	taisawm i hrenh; e.g. Buckle your belt = Na taisawm i hrenh.
1479	buckle (n.)	taisawm hrenh
1480	buckler (n.)	ttangphaw a hme phun
1481	buckshot (n.)	sa kahnak ca i an sermi kuan
1482	bud (n.)	thinghnah a corhkate a simi
1483	Buddha (n., prop.)	Budis biaknak a thawktu
1484	Buddhist (n., prop.)	Budis biaknak a zulmi
1485	budge (v.)	tthial, thawn, hngir; e.g. He cannot budge the rock = Lungpi cu a hngir in a hngir kho lo.
1486	budget (n.)	tangka hmuhnak le hmannak ding tuak chungnak
1487	buffalo (n.)	naa
1488	buffer (n.)	a hmual a dinter deuhtu , a nemter deuhtu
1489	buffer state (n.)	ram pahnh karlak i ram hme deuh aa tenhmi.
1490	buffet (v.)	1. thongh; 2. fak piin thin
1491	buffet (n.)	mah tein i suah ciomi rawldangh
1492	bug (n.)	hmaifa
1493	bugle (n.)	muko
1494	bugler (n.)	muko tumtu
1495	build (v.)	sak, inn sak
1496	builder (n.)	satu, inn satu
1497	building (n.)	inn
1498	built (v.)	build zoh; past tense of build.
1499	bulb (n.)	1. tawba, anttam tawba; 2. anttam tawba bantuk a simi elektrik mei vannak bo
1500	bulge (v.)	a puar; e.g. His pocket bulges with apples = A angki zal kha epal a khat i a puar.
1501	bulk (n.)	a tam deuh, a ngan deuh; e.g. I put the bulk of my books in the box = Ka cauk a tam deuh cu kuang chungah ka chiah hna.
1502	bulky (adj.)	thilrit, thlircawi a harmi, a nganmi
1503	bull (n.)	1. cawtum; 2. Pope nih nawlbia a chuahmi.
1504	bullet (n.)	kuanfang , meithal kuan
1505	bulletin (n.)	thawngpang tawi tein ttialmi
1506	bullion (n.)	suithluan
1507	bullock (n.)	cawtum
1508	bull's eye (n.)	hmuiselnak i chonmi a laifangte
1509	bully (n.)	thazang a tthawng i mi nehsawh le nekngeih a hmangmi
1510	bully (v.)	cu bantukin mah nak der deuhmi va hrocer, duh lomi va tuahter
1511	bulwark (n.)	ralhau
1512	bump (v.)	i suk , i khawn , i den
1513	bump (n.)	1. dut; e.g. The airplane landed with a bump = Vanlawng kha vawlei a vung phan i dut tiah a cawl; 2. khawndennak in a phingmi; 3. a bo
1514	bumper (n.)	mawttawka hmailei i khammi thirthluan
1515	bumper (adj.)	kum dang nakin rawl tam deuh ngeih.
1516	bunch (n.)	bor; e.g. A bunch of keys = Tawh bor; e.g. A bunch of bananas = Banhla thlar; a bu in chiahmi thil.
1517	bundle (n.)	tom; e.g. A bundle of clothes = Hnipuan tom khat
1518	bundle (v.)	tom; e.g. Please bundle the papers = Caku kha tom hna.
1519	bungalow (n.)	bangla , riahnak inn
1520	bunk (n.)	vampang i benhmi ihkhun
1521	bunker (n.)	1. tilawng chung i lung meihol chiahnak; 2. ralkap nih an rak i cawh chungmi khor.
1522	bunny (n.)	saveh kawhnak min; e.g. Easter bunny = Bawipa thawhtthan saveh
1523	buoy (n.)	ti cung i a vuan dingin chiahmi thil , ralrinnak peknak
1524	buoyancy (n.)	ticung i vuanh khawhnak
1525	buoyant (adj.)	1. ticung i a vuan khomi thil; 2. lunglawm hmaipanh i a ummi
1526	burden (n.)	thilrit
1527	burdensome (adj.)	a ritmi thil , a horh a harmi thil
1528	bureau (n.)	1. cabuai, a chung i khan hme tete a ngeimi; 2. zung; e.g. We asked the train fare at the Travel Bureau = Tlanglawng kal man kha Khualtlawnak Zung ah kan va hal.
1529	bureaucracy (n.)	bawi ngaiin aa umtermi uktu pawl ukning le rianttuanning
1530	bureaucrat (n.)	bawi ngaiin aa umtermi rianttuantu
1531	burglar (n.)	inn ramhtu , in bauhtu mifir
1532	burial (n.)	mithi vui
1533	burial (adj.)	mithi vuinak; e.g. Burial service = Mithi vuinak pumh
1534	buried (v.)	bury zoh. Past tense and past participle of bury.
1535	burlap (n.)	buri ttha phun
1536	burly (adj.)	a tthawng, a pum a ngan i a titsa a tthommi
1537	burn (v.)	1. me in khang; 2. a kang; e.g. The house is burning = Inn a kang; 3. duah, mei duah.
1538	burnt (v.)	a kangmi. Zong burn; past tense and past participle of burn; e.g. My fire insurance policy states that I shall receive two thousand kyats if my house is burnt down (burned down asiloah burns down) = Ka mei aamah-khan biakamnak ca chungah, ka inn a kangh ahcun, tangka thong hnih ka hmuh lai, tiah aa ttial.
1539	burrow (n.)	khor , zu khor
1540	burst (v.)	1. a kek, a kuai; e.g. The bombs burst = Bomb kha an puak, an kek; 2. a khat cikcek; e.g. The barns were bursting with grains = Rawl inn cu rawl an khat cikcek.
1541	bury (v.)	vui , phum
1542	bus (n.)	zapi citnak mawttawka
1543	bush (n.)	burbuk
1544	bushel (n.)	rawl tahnak, phio hnih, tang khat tluk
1545	business (n.)	1. rian; e.g. His business is building = A rian cu innsak a si; 2. chaw lehthal; e.g. Business was good last year = Nikum cu chaw lehthal a ttha; 3. mah pumpak rian, thil; e.g. My affairs are none of your business = Ka umtuning cu nangmah rian zeihmanh a si lo.
1546	bust (v.)	hmanthlak ; lu , liang le tang lawng a langmi
1547	bustle (v.)	i sulkhawt lulhmalh in um
1548	busy (adj.)	rian tam , manh lo
1549	busybody (n.)	mi rian i a va sawh lengmangmi khi, mi biaduh
1550	but (conj.)	1. sihmanhselaw; 2. dah ti lo ahcun; e.g. I shall go anywhere but to the river = Tiva dah ti lo ahcun khuazeihmanh ah ka kal ko lai; 3. dah lo nih cun; e.g. No one knows this but me = Keimah dah ti lo nih cun hihi ahohmanh nih an hngal lo; 4. lawnglawng; e.g. There is but one answer to your question = Na biahalnak lehnak ah cun pakhat lawnglawng a um.
1551	butcher (n.)	caw thattu , saram thattu
1552	butcher (v.)	saram thah bantukin mi thah
1553	butler (n.)	sinum upa bik
1554	butt (v.)	suk; e.g. The goat butted a boy = Meheh nih ngakchia a suk.
1555	butt (n.)	meithal tanglam
1556	butter (n.)	cawhnuk thawhpat
1557	butterfly (n.)	pelep
1558	buttermilk (n.)	muaihang
1559	buttocks (n.)	tawtit, tawcor. butt a tawinak in ttial.
1560	button (n.)	kep
1561	button (v.)	kep hrenh.
1562	buttonhole (n.)	kep awng
1563	buttress (n.)	vampang a fehtertu ding i rualchapmi
1564	buxom (adj.)	thau milmial tein a um i a ngan a dam i lunglawm in a ummi
1565	buy (v.)	cawk
1566	buyer (n.)	cawtu
1567	buzz (n.)	khuai nih a kan helh i a thawng a awn viaimaimi khi, hna zaizil khuang
1568	by (prep.)	1. pawng; e.g. Stand by me = Ka pawngah dir; 2. in; e.g. They came by car = Mawttawka in an ra; 3. a luan cangmi; e.g. Days gone by = Hnulei a luan cangmi caan. by all means = zeitilei paoh hmanh in tuah ko. by and by = hmailei ah. by far = tampi thlau, suaumau; e.g. He is by far the better writer = Amah cu cattial a thiam deuh suaumau. by hand = kut in ser, put tuah. by heart = lungchung in, zoh loin. by no means = zeitilei paoh hmanh in tuah hlah. by the way = vei mu. by turns = pakhat hnu pakhat aa chang lengmang in. by virtue of = cucaah, cu thawngin.
1569	bylaw (n.)	upadi hme deuh ; mah rianttuannak ding ca i sermi
1570	bypass (n.)	hrialnak lam
1571	bypass (v.)	hrial
1572	bystander (n.)	pawng i a rak dirmi , a rak zohtu
1573	byword (n.)	mi kip nih hmanmi le theihmi bia ; a min chim lengmangmi nu/pa , chiatnak lei deuh in ceihmi hna
1574	cab (n.)	1. cit awkah hlanmi leng, tang pakhat nih a hnuh khawhmi; 2. mawttawka hme deuh pawl
1575	cabaret (n.)	1. rawl emak inn i lamnak zong a um chihmi; 2. cu bantuk nuamhnak tuahnak hmun
1576	cabbage (n.)	kawpi hlum
1577	cabin (n.)	1. thlam tia hrawng a si i khan khat lawng a ngeimi inn; 2. thingpum in sakmi inn; 3. tilawng chungah siseh, vanlawng chungah siseh, thnak khan
1578	cabinet (n.)	1. hrawl a ngeimi bizu; 2. ram uktu bawi ngan bik nih amah bawmtu ah aa thimmi vuanzibu
1579	cable (n.)	1. thirhri hrual; 2. bia i thanhnak thirhri; 3. thirhri in bia i thanhmi
1580	cablegram (n.)	thirhri in bia i thanhmi
1581	cacao (n.)	kuku thei kung
1582	cache (n.)	1. rawl , tangka , hriamnam le thil dangdang thuhnak hmun; 2. thuhmi thilri , hriamnam
1583	cackle (n.)	1. ar nih a ti a tit i a tawktadak khi; 2. ar tawktadak bantuk i nih
1584	cactus (n.)	hreng
1585	caddie (n.)	golf a tumi an tuknak fung a put piaktu, golf bawlung chartu.
1586	cadence (n.)	aw ttum le aw kai , holh tik i aw ttum le aw kai
1587	cadet (n.)	ralkap chung bawi si ding a cawng liomi
1588	Caesar (n., prop.)	Rom siangpahrang
1589	cafe (n.)	rawl einak inn , lakphak dinnak inn
1590	cafeteria (n.)	mah nih i lak cio in rawl einak le lakphak dinnak inn
1591	caffeine (n.)	kawfi chungah siseh lakphak chungah siseh aa tel ciami si phun khat
1592	cage (n.)	saram le vate zuatnak bawm
1593	cairn (n.)	lungdonh , zawllung
1594	cajole (v.)	lem
1595	cake (n.)	changreu thlum , kekhmuk
1596	calamitous (adj.)	vanchiat a tongmi
1597	calamity (n.)	vanchiat
1598	calcify (v.)	thung hak ah i can
1599	calcium (n.)	kalsiam, ruh thawntertu
1600	calculate (v.)	tuak
1601	calculation (n.)	tuaknak
1602	calculator (n.)	tuaktu (minung a si zongah , seh a si zongah)
1603	calculus (n.)	kanan phun khat, algebra thiam nu i cawnmi. caldron,
1604	couldron (n.)	thil chumhnak um nganpi.
1605	calendar (n.)	nithla relnak
1606	calf (n.)	1. cawfa, vuifa, whale nga fa, sazuk sakhi fa; 2. thaphet.
1607	caliber (n.)	U.S.: 1. meithal kua; 2. thil ti khawhnak ngeihmi; e.g. He is a man of great caliber = Amah cu thil ti khawhnak nganpi a ngeimi a si.
1608	calibre (n.)	British:1. meithal kua; 2. thil ti khawhnak ngeihmi; e.g. He is a man of great calibre = Amah cu thil ti khawhnak nganpi a ngeimi a si.
1609	calico (n.)	puanthan rang.
1610	caliph (n.)	Muslim bawi.
1611	call (v.)	1. au, kawh, auh; e.g. Call me at seven o'clock = Suimilam pasarih ah ka au te; 2. min sak; e.g. They called him John = John tiah min an sak; 3. len; e.g. Our pastor will call on us tomorrow = Thaizing ah kan pastor a kan leng lai.
1612	caller (n.)	1. kotu; 2. lengtu
1613	calling (n.)	1. rian; 2. sawmnak
1614	callous (adj.)	a hak i fah a thei ti lomi
1615	callous (n.)	cuar a dakmi , a hakmi
1616	calm (n.)	dai zirziar in um caan; e.g. A great calm followed the storm = Thlichia kha dai zirziar in a ummi caan nih a hun zulh.
1617	calm (adj.)	a dai; e.g. A calm night = A daimi zan
1618	calmness (n.)	daihnak
1619	calorie (n.)	rawl nih a chuahtermi linhnak
1620	calumniate (v.)	ni thangchiat , mi congoih
1621	calumny (n.)	thangchiatnak , congoihnak , mi rawi
1622	Calvary (n., prop.)	Bawi Jesuh thihnak tlang
1623	camaraderie (n.)	hawikom pakhat le pakhat i bochan i zumhnak
1624	cambium (n.)	thing a hawng le a sa karlak i a ummi a nal niknekte khi
1625	came (v.)	past tense of come, ra, hika ah hin ra; come zoh.
1626	camel (n.)	kalauk
1627	camelia (n.)	pangpar phun khat a par a rang i a kung thingkung a simi
1628	camera (n.)	hmanthlaknak seh
1629	camouflage (n.)	thuptu, langhter lotu, phengtu; e.g. Green leaves are used for camouflage in jungle warfare = Ramlak raltuknak ah thinghnah hring kha phengtu ah an hman hna.
1630	camp (n.)	riahnak hmun
1631	camp (v.)	riah
1632	campaign (n.)	a bu in tinhmi ngei in ttuanmi
1633	campaign (v.)	ralkap nih tinhmi pakhat ngei in ral an tuk khi
1634	campaigner (n.)	hi bantuk rianttuannak i an haotu
1635	campanile (n.)	darkhing thlainak innsang
1636	camphor (n.)	thil buar si
1637	campus (n.)	college sianginn umnak vawlei.
1638	can (n.)	thawl; e.g. Chiti thawl
1639	can (v.)	1. tuah khawh, khawh; e.g. He can go to church = Biakinn ah a kal kho; 2. thawl chung i erh; e.g. My mother cans apples = Ka nu nih epalkha thawl chungah a erh hna.
1640	Canadian (n., prop.)	Canada rammi.
1641	canal (n.)	ti laknak kahcham
1642	cancel (v.)	hrawh tthan
1643	cancellation (n.)	hrawh tthannak
1644	cancer (n.)	1. khensar zawtnak; 2. vawlei pumpi vel in ummi lam, ekuaitar in chaklei ah degree
1645	candid (adj.)	lungthiang, phehthuh lo tein; e.g. I will be quite candid with you: I think you acted foolishly = Lung thiang tein kan ti ko lai: hrut ngaiin na rak tuah ko khah.
1646	candidate (n.)	rian pakhatkhat ca i a min aa pemi
1647	candle (n.)	phazawngdaing
1648	candlestick (n.)	phazawngdaing vannak tung
1649	candor (n.)	U.S. duhdanhnak ngei lomi lungthin, ruahnak taktak chimmi.
1650	candour (n.)	British. duhdanhnak ngei lomi lungthin, ruahnak taktak chimmi.
1651	candy (n.)	mutthai
1652	cane (n.)	hripi, hrite; e.g. sugar cane = fu.
1653	canine (adj.)	uico bantuk a simi thil; e.g. canine teeth = uihao minung ha.
1654	canister (n.)	1. kuang hmete, canphio bawmte. 2. miakpi kuan funnak canphio bawmte.
1655	canker (n.)	thingkung a sa a hrawktu zawtnak, minung kaa chung i hma a umtertu zawtnak; cu bantukin rawhnak a chuahtertu.
1656	cankerworm (n.)	thinghanh citu rungrul.
1657	cannibal (n.)	minung sa a eimi
1658	cannibalism (n.)	minung sa ei hmangmi sinak
1659	cannon (n.)	miakpi
1660	canny (adj.)	ralring tein phaisa a hmangmi, fim ngaiin a ummi
1661	canoe (n.)	vokkuanglawng phun khat
1662	canon (n.)	Khrihfabu nih an sermi phung.
1663	canopy (n.)	cung zarh; e.g. ihkhun cung zarh, siangpahrang tthutdan cungzarh can't - (v., contraction) cannot, tuah khawh lo, khawh lo. Zong can not.
1664	cantaloupe (n.)	Zoh musk melon.
1665	cantata (n.)	tuanbia pakhatkhat hlasabu nih hla in a sullam an sakmi
1666	canteen (n.)	1. tithawl; 2. eidin zuarnak ralkap dawr
1667	canticle (n.)	hla
1668	canton (n.)	ram pakhat chung i uknak caah tthen hme tete i an tthenmi; e.g. Switzerland is made up of 22 cantons = Switzerland ram cu tthen 22 ah aa tthen.
1669	cantonment (n.)	ralkap umnak hmun
1670	canvas (n.)	khairiat puan
1671	canvass (v.)	hawi va sawm
1672	canyon (n.)	horkuang
1673	cap (n.)	sahmul luchin
1674	capability (n.)	thil ti khawhnak
1675	capable (adj.)	thil a ti khomi; e.g. He is a capable man = Mi thil ti kho a si.
1676	capacious (adj.)	thil tampi a tlum khomi , a kaumi
1677	capacity (n.)	1. tlum khawhnak; e.g. The capacity of this bottle is one gallon = Hi thawl nih gallon pakhat a tlum khawh; 2. si khawhnak; e.g. He has the capacity to become a doctor = Sibawi si khawhnak a ngei; 3. sining; e.g. She worked in the capacity of a nurse = Si sayamah sining ngei in a ttuan.
1678	cape (n.)	Vawlei fonghlei
1679	capillary (n.)	sam bantuk a si i a chung a awngmi thihri.
1680	capital (adj.)	1. ngan; e.g. Capital letter = Cafang ngan; 2. thih dan pek khawh a simi sualnak; e.g. Murder is a capital offense = Lainawn cu thih dan pek khawhmi sualnak a si.
1681	capital (n.)	1. ram khat chung uknak khuapi bik; 2. tangka hram; 3. cafang ngan
1682	capitalism (n.)	tangka hram in rianttuannak
1683	capitalize (v.)	cafang ngan in ttial
1684	capitol (n.)	USA ram Washington khua i Congress an i pumhnak inn.
1685	capitulate (v.)	celh ti lo i i pek; e.g. The men in the fort capitulated = Ralhau chung mi hna nih an celh ti lo i an i pe.
1686	capitulation (n.)	celh lo i i peknak
1687	capon (n.)	arhli a til chuahmi
1688	capon (v.)	ar til chuah
1689	caprice (n.)	lungrep bunh lonak
1690	capricious (adj.)	lungrep a bunh lomi
1691	Capricorn (n., prop.)	vawlei pum vel in rinmi lam; equator in thlanglei ah degree 23.45. Tropic of Capricorn.
1692	capsize (v.)	let, aa let; e.g. The boat capsized = Tilawng aa let.
1693	capstan (n.)	hri hrennak tung
1694	capsule (n.)	hlum zawl; e.g. Tetracycline si te hna a zawl tete i an tuammi hna khi.
1695	captain (n.)	haotu , ralbawi bo thum benh
1696	caption (n.)	sullam langhtertu bia tlangpi
1697	captivate (v.)	hren, sal bantukin hren; e.g. Her charm captivated him = A iang nih hri hren in a hren.
1698	captive (n.)	sal tang
1699	captivity (n.)	saltannak
1700	captor (n.)	sal tlaitu
1701	capture (v.)	tlaih; e.g. We capture fish with nets = Sur in nga kan tlaih hna.
1702	car (n.)	mawttawka
1703	car load (n.)	mawttaw phorh khawhmi thil
1704	carat (n.)	1. cheu 24 i cheu khat; 2. lungvar rihzan thlainak, grain pathum; 3. karat zoh.
1705	caravan (n.)	a bupi in khual a tlawngmi hna
1706	carbine (n.)	raifel meithal tawi
1707	carbohydrate (n.)	carbon, hydrogen le oxygen aa cawhmi, thanthling le rawl hang bantuk. carbolic
1708	acid (n.)	zawtnak rungrul thahnak ah hmanmi si, karbolik chatpiak bantuk
1709	carbon (n.)	meihol, lungmeihol le thil nahternak chung i a ummi
1710	carbon dioxide (n.)	a mui hmuh khawh a si lo i rim zong a ngei lomi thaw, minung nih kan chuahmi thaw hi
1711	carbuncle (n.)	1. hmachia; 2. sendung lungvar
1712	carburator (n.)	mawttawka chung i a ummi, petrol le thli a cawhtu bawmte.
1713	carcass (n.)	saruak
1714	card (n.)	1. catlap tthawngmi; e.g. Wedding card = nupi tthitnak sawmnak ca; 2. phe kahnak catlap
1715	cardboard (n.)	catlap a tthawng i a chah zong a chahmi
1716	cardigan (n.)	kut i phiarmi sahmul angki, suaita
1717	cardinal (n.)	Pope a hun changtu Roman Catholik biaknak bawi.
1718	cardinal (adj.)	a biapi bik, a ngan bik a simi
1719	care (n.)	1. zawnruahnak; e.g. A mother has care for her baby's health = Nu nih a fa ngandamnak ding zawnruahnak a ngei; 2. lung retheihnak; e.g. I wish I could be free from care = Lung retheihnak in luat kho ning ti ka duh; 3. ttha tein zohkhenh; e.g. Please take care of him = Amah cu ttha tein zohkhenh tuah.
1720	care (v.)	duhnak ngeih; e.g. He does not care about music = Hla lei duhnak a ngei lo; e.g. A cat does not care to be washed = Chizawh nih kholh a duh lo.
1721	career (n.)	mah rian
1722	careful (adj.)	aa ralringmi
1723	carefulness (n.)	i ralrinnak
1724	careless (adj.)	i ralrin lo
1725	carelessness (n.)	i ralrin lonak
1726	caress (v.)	muai; e.g. He caresses the cat = Chizawh kha a muai.
1727	caretaker (n.)	inn zohkhenhtu
1728	careworn (adj.)	lungrethei le thaba nagiin a ummi
1729	cargo (n.)	tilawng , vanlawng , tlanglawng , mawttaw nih phorhmi thil
1730	caricature (v.)	mi an sining , a si lo deuh vakning tiang i nihchuak saihnak ca i chim le cawn
1731	carnage (n.)	mi tampi thah
1732	carnal (adj.)	vawlei cung thil siseh , pumsa lei thil siseh a ruat tukmi
1733	carnation (n.)	pangpar phun khat
1734	carnival (n.)	a nuam ngaimi puai
1735	carnivorous (adj.)	sasi phun saram; e.g. Cakei, chizawh, chiandeih, ...
1736	carol (n.)	lawmhnak hla
1737	carousal (n.)	zu din puai
1738	carpenter (n.)	lehtama
1739	carpentry (n.)	lehtama rian
1740	carpet (n.)	tuangphah
1741	carriage (n.)	thil phorhnak leng , mi nih siseh , saram nih siseh , hnuhmi
1742	carrier (n.)	phortu
1743	carrot (n.)	kazer
1744	carry (v.)	phorh (phorh); e.g. I shall carry your load for you = Na thil kan phorhpiak lai. carry
1745	on (v.)	tuan peng
1746	carry out (v.)	lim, tling lakin ttuan
1747	cart (n.)	cawleng, leng
1748	carton (n.)	caku thingkuang, bawm hmanthlak, sullam a ngei ngai ttungmi
1749	cartoon (n.)	nihchuak in suaimi hmanthlak, sullam ngei ngai ttungmi
1750	cartridge (n.)	zenthong
1751	carve (v.)	1. a themh in themh i mui suai; e.g. He carved the picture of a bear on the stone = Lung cungah vom mui a themh i suai; 2. sa can; e.g. Father carves the meat at the table = Ka pa nih rawl ei tikah sa cu namte in a can.
1752	carver (n.)	cantu , themhtu
1753	carving (n.)	lung cungah siseh, thing cungah siseh, a themh in an suaimi hmanthlak
1754	cascade (n.)	tisor
1755	cascade (v.)	tisor tlak in tlak
1756	case (n.)	1. thil a hung ummi; e.g. Only one case of robbery was reported to the police = Fir a hung ummi pakhat lawng palik sihan an thanh; 2. bia; e.g. The judge decided the case = Biaceihtu nih bia a khiah; 3. Harnak zawtnak a ingmi; e.g. The doctor treated cases of dysentery = Sibawipa nih thisen thletmi a zohkhenh hna; 4. kuang; e.g. book case = cauk kuang; e.g. tea case = lakphak kuang. in case = a si sual ahcun; e.g. Bring your umbrella in case it rains = Ruah a sur sual ai, na nithawng i put. in any case = a zeiti lei hmanh in; e.g. In any case, you will have to go = A zeiti lei hmanh in na kai a herh ko lai.
1757	cash (v.)	tangka i canter; e.g. Please cash this check = Hi check cu tangka ah va canter.
1758	cash (n.)	tangka
1759	cashier (n.)	tangka kengtu
1760	cashmere (n.)	tuuhmul nem in tahmi puan.
1761	casing (n.)	tuamnak
1762	casket (n.)	1. thil man sung chiahnak bawmte; 2. miruak kuang
1763	cast (v.)	1. hlonh, cheh; e.g. He casts stones into the water = Ti chungah lung a hlonh hna; 2. hei umter; e.g. The tree casts its shadow on the rock = Thingkung nih lung cungah a thla a hei umter; 3. thlet; e.g. The statue of Aung San was cast in bronze = Aung San hmanthlak cu darsen in an thlet; 4. baisakup tuahnak i a kong an cantermi khi; e.g. He was cast for the part of Hamlet = Hamlet ah an canter.
1764	cast iron (n.)	uhkang
1765	cast vote (v.)	kutthlir, me sanh
1766	caste (n.)	phun; e.g. Low caste = Mi nauta phun
1767	castigate (v.)	fak piin soi , sik , dantat
1768	castigation (n.)	fak piin soinak , siknak , dantatnak
1769	castle (n.)	ralhruang a ngeimi inn nganpi
1770	castor oil (n.)	chungthlet si bang
1771	castrate (v.)	tildit
1772	casual (adj.)	1. ruah lopi in thil a hung ummi; e.g. A casual meeting = ruah lo piin i tonnak; e.g. casual leave = lakhruak khonh; 2. tinhmi set zeihmanh ngeih lo; e.g. He gave the book a casual glance, but did not study it = Cauk cu a vun zoh vukvak, sihmanhsehlaw ttha tein a rel lo.
1773	casualty (n.)	hriamhma ton , hriam hma a tongmi
1774	cat (n.)	chizawh
1775	cataclysm (n.)	fak piin tthat lonak lei i aa thlengmi thil , rawhnak
1776	catacomb (n.)	vawlei tang thlan a tlarpi in a ummi hna
1777	catalog, catalogue (n.)	thil min le an man ttialnak cauk.
1778	catapult (n.)	khairiat chai
1779	catastrophe (n.)	harnak le rawhralnak nganpi khulrang in a chuakmi
1780	catch (v.)	1. tlaih, seh; e.g. The cat will catch the mouse = Chizawh nih zu kha a seh lai; 2. Catch the ball = Pumpululh kha tlai. 3. sio; e.g. How many fish did you catch = Nga zeizatdah na sio? 4. zawt; e.g. I catch cold easily = Cumpi in fawi tein ka zaw. catch up with = e.g. Walk slowly and I will catch up with you = Duhsah tein rak kal law ka hun in phak ko lai. catch fire = kangh aa thawk.
1781	catch (n.)	tlaihmi; e.g. Their catch was large today = Nihin cu tampi an tlaih.
1782	catechism (n.)	Biahalnak le bialehnak in cawnpiaknak.
1783	categorical (adj.)	hnuaphnap loin , fiangrao in
1784	category (n.)	cheumi , tthenmi
1785	cater (v.)	rawl pek , herhmi pek
1786	caterpillar (n.)	lunghmui
1787	cathedral (n.)	biakinn nganpi
1788	catholic (adj.)	kaupi, zeizong vialte a huap kho dihmi
1789	Catholic (n., prop.)	Roman Catholic Khrihfabu chung ummi
1790	catkin (n.)	inhliam thingkung a par, hru par zong
1791	cattle (n.)	inn zuat sattil, caw phun paohpaoh.
1792	Caucasian (n., prop.)	Mirang le India miphun paohpaoh.
1793	caught (v.)	past tense and past participle of catch, tlaih, seh; catch zoh; e.g. I just caught the train = Tlanglawng ka tanh manh ceote a si.
1794	cauldron (n.)	thil chuannak um nganpi
1795	cauliflower (n.)	antampar
1796	cause (n.)	1. thil a chuahtertu; e.g. What was the cause of his sickness = A zawtnak a chuahtertu zeidah a si? 2. sullam; e.g. You have a good cause to be angry = Thinhunnak dingah sullam ttha na ngei. 3. tinhmi; tuahmi; e.g. They fought for the cause of freedom = Luatnak an i tinhmi ruangah an doh.
1797	cause (v.)	umter; e.g. He did not want to cause trouble = Harnak umter, chuahter a duh lo.
1798	caution (n.)	1. ralrinnak peknak; e.g. Cross the road with caution = Lam kha ralring tein na tan lai; 2. ralrinpeknak; e.g. Let his experience serve as a caution to you = Thil a rak tonmi kha na caah ralrin petu si seh.
1799	cautious (adj.)	aa ralring ngaimi
1800	cavalry (n.)	rangcung ralkap
1801	cave (n.)	lungkua
1802	cavern (n.)	lungkua nganpi
1803	cavity (n.)	awng, kua, ha chung kua
1804	cease (v.)	donghter , ngol
1805	ceaseless (adj.)	a dong lomi
1806	cedar (n.)	sidar thing
1807	cede (v.)	pek; e.g. Spain ceded the Philippine Islands to the U.S.A. = Spain nih Philippine tikulh hna cu U.S.A. a pek hna.
1808	ceiling (n.)	siling , kandap
1809	celebrate (v.)	conglawmh , puai tuah
1810	celebrated (adj.)	minthang a simi, thangtthatmi
1811	celebration (n.)	conglawmhnak
1812	celebrity (n.)	minthangmi , thangtthatmi
1813	celery (n.)	caleri
1814	celestial (adj.)	vanlei thil; e.g. Sun and moon are celestial bodies = Ni le thlapa khi vanlei thil an si.
1815	celibacy (n.)	nupi ngei lo , va ngei loin , biaknak lei i zuamnak caah um
1816	celibate (adj.)	nupi ngei lo , va ngei loin a ummi
1817	cell (n.)	thonginn chungah siseh, phungki pawl umnak inn ah siseh, a dangte i khan hmete an chiahmi, cu bantuk khan hmete paoh
1818	cellar (n.)	inntang i an sermi khan
1819	cellophane (n.)	a thlam a lang khomi plastik phun a simi thil funnak ca hmanmi
1820	Celt (n., prop.)	England ram i a rak ummi miphun, Irish, Scottish le Briton a rak hringsortu hna.
1821	cement (n.)	siment , mirang vawlei
1822	cement (v.)	sengh
1823	cemetery (n.)	thlan (thlaan).
1824	censer (n.)	zihmui khanghnak khengte
1825	censor (n.)	cozah duh lomi thil a um sual maw tiah thil a cektu
1826	censor (v.)	thil cek
1827	censor (adj.)	thil cektu a simi
1828	censorious (adj.)	mi dang sual kawl a duh ngaimi pa
1829	censure (v.)	sualphawt , mawhchiat
1830	census (n.)	milu rel
1831	cent (n.)	U.S.A. tangka dollar phar cheu za khat i cheu khat.
1832	centenary (adj.)	kum za khat he aa pehtlaimi; e.g. The centenary celebrations of the coming of Christian missionaries to the will be in 1999 = Laitlang siangbawi an kai kum za khatnak puai cu 1999 ah a si lai.
1833	centennial (n.)	kum za khatnak , kum za khat tlinnak cam
1834	center (n.)	1. a laifang; e.g. Center of the town = Khua laifang; 2. hmunpi, hmunlai
1835	centigrade (n.)	kihlum tahnak, cheu za khat i an cheumi phun, degree 100 ah ti a tlok.
1836	centigram (n.)	U.S. gram pakhat cheu za khat i cheu khat.
1837	centigramme (n.)	British.  gram pakhat cheu za khat i cheu khat.
