ID	DOCULECT	CONCEPT	IPA	TOKENS	NOTE	BORROWING	CHINESE	COGID	HANZI
18439	Naxi	the horn (keratinized skin)	kho³³	kh o ³³				1906	
18440	Naxi	the hoof	khuɑ³³be²¹	kh u ɑ ³³ ◦ b e ²¹				3144	
18442	Naxi	the body hair (hair or fur)	fv̩³³	f v̩ ³³				3560	
18444	Naxi	the horse	ʐuɑ³³	ʐ u ɑ ³³				3151	
18447	Naxi	the sheep	y²¹	y ²¹				3614	
18455	Naxi	the pig	bu²¹	b u ²¹				3156	
18458	Daofu	left	ʁjun	ʁ j u n		Tibetan[gjon]		2020	
18463	Naxi	the wing	dv̩³³	d v̩ ³³				2954	
18464	Naxi	the feather	no²¹	n o ²¹				1624	
18466	Naxi	the tiger	lɑ³³	l ɑ ³³		Wanderwort		3576	
18471	Naxi	the otter	ʂu²¹	ʂ u ²¹				3632	
18473	Naxi	the mouse or rat	fv̩⁵⁵	f v̩ ⁵⁵				2282	
18474	Naxi	the wolf	phɑ²¹khɯ³³	ph ɑ ²¹ ◦ kh ɯ ³³				3168	
18475	Naxi	the fox	dæ³³	d æ ³³				3173	
18476	Naxi	the bird	v̩⁵⁵zi³³	v̩ ⁵⁵ ◦ z i ³³				1308	
18478	Pumi_Lanping	the sheep	ʒɑ̃u⁵⁵	ʒ ɑ̃ u ∼ ⁵⁵				3614	
18483	Naxi	the sparrow	dzæ³³zo³³	dz æ ³³ ◦ z o ³³				3593	
18490	Naxi	the snake	ʐɿ²¹	ʐ ɿ ²¹				2553	
18494	Naxi	the fish	ȵi³³	ȵ i ³³				1646	
18498	Naxi	the flea	khɯ⁵⁵ʂu³³	kh ɯ ⁵⁵ ◦ ʂ u ³³				3192	
18499	Naxi	the louse	ʂu³³	ʂ u ³³				2053	
18500	Naxi	the nit	ʂu³³ly³³	ʂ u ³³ ◦ l y ³³				3635	
18503	Naxi	the mosquito	bɚ³³tsɿ²¹	b ɚ ³³ ◦ ts ɿ ²¹				2107	
18504	Naxi	the spider	ɑ³³lɑ³³	ɑ ³³ ◦ l ɑ ³³				2573	
18505	Naxi	the earthworm	ə²¹bv̩³³ʐɿ⁵⁵lɯ³³	ə ²¹ ◦ b v̩ ³³ ◦ ʐ ɿ ⁵⁵ ◦ l ɯ ³³				3202	
18507	Naxi	the ant	tʂhuɑ⁵⁵uɑ³³	tʂh u ɑ ⁵⁵ ◦ u ɑ ³³	!			3212	
18508	Naxi	the ant	tɕho⁵⁵lo³³ʂɿ²¹	tɕh o ⁵⁵ ◦ l o ³³ ◦ ʂ ɿ ²¹				3214	
18513	Naxi	the tree	dzɚ²¹	dz ɚ ²¹				2809	
18515	Naxi	the branch	dzɚ²¹kə⁵⁵dzɚ²¹lɑ²¹	dz ɚ ²¹ ◦ k ə ⁵⁵ ◦ dz ɚ ²¹ ◦ l ɑ ²¹				1401	
18516	Naxi	the root	dzɚ²¹khɯ³³	dz ɚ ²¹ ◦ kh ɯ ³³				2353	
18517	Naxi	the leaf	phiə⁵⁵	ph i ə ⁵⁵				2010	
18518	Naxi	the flower	bɑ²¹	b ɑ ²¹				1674	
18519	Naxi	the fruit	dzɚ²¹ly³³	dz ɚ ²¹ ◦ l y ³³				1721	
18523	Naxi	the fire	mi³³	m i ³³				1639	
18526	Tujia	to steal	ɣɯe³⁵	ɣ ɯ e ³⁵				2611	
18527	Naxi	the bamboo	mɯ⁵⁵	m ɯ ⁵⁵				3221	
18532	Lisu	the goat	ɑ⁵⁵tʃhi̱³¹zɑ³¹	ɑ ⁵⁵ ◦ tʃh i̱ ³¹ ◦ z ɑ ³¹				3623	
18533	Bai_Jianchuan	long	tsõ⁴²	ts õ ∼ ⁴²				2044	
18534	Dulong	the heart	ɹɯ³¹mɛʔ⁵⁵	ɹ ɯ ³¹ ◦ m ɛ ʔ ⁵⁵				1848	
18535	Naxi	the wheat	dze³³	dz e ³³				3239	
18536	Naxi	the barley (tibetan or highland)	mɯ³³dze³³	m ɯ ³³ ◦ dz e ³³				3245	
18541	Tibetan_Written	two	gȵis	g ȵ i s				2816	
18547	Naxi	the grass	zɿ³³	z ɿ ³³				1771	
18549	Naxi	the rice plant	tʂhuɑ³³	tʂh u ɑ ³³				3256	
18551	Bai_Jianchuan	the mud	ni⁴²ua⁵⁵	n i ⁴² u a ⁵⁵	ua⁵⁵ < 汚 ?	Ch 泥		3067	
18552	Naxi	the meat	ʂɿ³³	ʂ ɿ ³³				2084	
18553	Naxi	the egg	kv̩³³	k v̩ ³³				1583	
18555	Tujia	the sky	mɯe³⁵	m ɯ e ³⁵				2511	
18561	Daofu	the sky	pqɑ	p q ɑ	!			2513	
18562	Daofu	the sky	mɑ mqɑ	m ɑ _ m q ɑ	!			2511	
18563	Daofu	the sun	ɣbə	ɣ b ə	!			2661	
18564	Daofu	the moon	ɬə ɣnə	ɬ ə _ ɣ n ə				2091	
18565	Daofu	the star	zgre	z g r e	!			2606	
18566	Daofu	the cloud	zdo	z d o	!			1438	
18567	Daofu	the thunder	scçɑ lu	s cç ɑ _ l u	!			2788	
18568	Daofu	the wind	xpə rju	x p ə _ r j u	!			2944	
18569	Daofu	the rain	mə qhi	m ə _ qh i				2271	
18570	Daofu	the rainbow	ndʑa	n dʑ a	!	Tibetan[ɴdʑa]		3013	
18571	Daofu	the snow	kha va	kh a _ v a		Tibetan[kha.ba]		2562	
18572	Daofu	the hail	lmə	l m ə	!			3032	
18573	Daofu	the frost	bɛ mu	b ɛ _ m u		Tibetan[ba.mo]		3035	
18575	Daofu	the fog	zdo mə	z d o _ m ə	!			1682	
18576	Daofu	the ice	lvo	l v o	!			1956	
18577	Daofu	the fire	ɣmə	ɣ m ə				1639	
18578	Daofu	the smoke	m◦khə	m kh ə	!			3802	
18581	Daofu	the mountain	la	l a		Tibetan[la]		2117	
18582	Daofu	the mountain	ri rav	r i _ r a v		Tibetan[ri rab]		2118	
18583	Bokar	the horn (keratinized skin)	a rəŋ	a _ r ə ŋ				1905	
18585	Naxi	the house	dʑi²¹	dʑ i ²¹				1915	
18586	Daofu	the river	ɣrə	ɣ r ə				2327	
18587	Daofu	the lake	mtshu	m tsh u	!	tib[mtsʰo]		1994	
18588	Daofu	the sea	mtshu	m tsh u	!	tib[mtsho]		3115	
18591	Daofu	the road	tɕɛ	tɕ ɛ				2341	
18592	Daofu	the earth (soil)	xtshə	x tsh ə	!			1561	
18593	Daofu	the sand	bji ma	b j i _ m a		Tibetan[bje.ma]		2386	
18594	Daofu	the dust	fɬɛ fɬa	f ɬ ɛ _ f ɬ a				1545	
18595	Daofu	the mud	ndʑɑ mbɑ	n dʑ ɑ _ m b ɑ	!			3069	
18596	Daofu	the water	ɣrə	ɣ r ə				2848	
18597	Daofu	the forest	nɑ	n ɑ		Tibetan[nags]		1703	
18598	Jingpho	to think (reflect)	mjit³¹	m j i t ³¹				2735	
18608	Darang_Taraon	he or she [third person singular]	tɕe⁵⁵	tɕ e ⁵⁵				1815	
18609	Naxi	firewood	sɚ³³	s ɚ ³³				3641	
18612	Daofu	the head	ʁə	ʁ ə				1821	
18613	Daofu	the hair (of the head)	ʁə rmi	ʁ ə _ r m i	!			1789	
18614	Daofu	the eye	mo	m o				1591	
18615	Daofu	the nose	sni	s n i				2205	
18616	Daofu	the ear	ȵə	ȵ ə				1556	
18618	Naxi	knife	ʐɚ³³the³³	ʐ ɚ ³³ ◦ th e ³³				3652	
18619	Daofu	the lip (the lips)	ɣumur	ɣ u m u r	!			3272	
18622	Daofu	the neck	vɮe	v ɮ e				2176	
18623	Daofu	the shoulder	lva	l v a	!			2473	
18624	Daofu	the shoulder	lva tɕha	l v a _ tɕh a	!			2473	
18625	Daofu	the shoulder	lva poŋ	l v a _ p o ŋ	!			2473	
18626	Daofu	the armpit	phjɛ kə və	ph j ɛ _ k ə _ v ə				3278	
18628	Daofu	the breast (female)	nu nu	n u _ n u				1202	
18629	Daofu	the belly	vo	v o				1339	
18631	Daofu	the thigh	blɛ	b l ɛ		tib[brla]		3082	
18632	Daofu	the knee	rŋə mo	r ŋ ə _ m o	!			1971	
18633	Daofu	the knee	rŋə	r ŋ ə	!			1971	
18635	Daofu	the foot	ʂko	ʂ k o	!			1693	
18636	Daofu	the hand	ɮa	ɮ a				1802	
18637	Naxi	the needle (for sewing)	ko²¹	k o ²¹				2186	
18639	Daofu	the nail (fingernail or claw)	nɛ ldzə	n ɛ _ l dz ə	!			2147	
18642	Daofu	the skin	dʑi dʑa	dʑ i _ dʑ a				2498	
18645	Daofu	the blood	she	sh e				1380	
18648	Daofu	the bone	rə ra	r ə _ r a				1391	
18650	Daofu	the tooth (front)	ɕə	ɕ ə				2800	
18657	Daofu	the liver	shi	sh i				2040	
18660	Naxi	the rope	ɚ²¹	ɚ ²¹				2357	
18663	Naxi	the sickle	sɿ⁵⁵kv̩³³	s ɿ ⁵⁵ ◦ k v̩ ³³				3303	
18665	Daofu	the nit	ɕə	ɕ ə				3636	
18671	Daofu	the child (young human)	ge de	g e _ d e				3110	
18675	Daofu	the man (male human)	pə ŋa	p ə _ ŋ a				2057	
18676	Daofu	the woman	sme	s m e				2964	
18677	Naxi	the daughter	mi⁵⁵	m i ⁵⁵				3511	
18682	Bokar	new	nɯ tiː	n ɯ _ t iː				2198	
18684	Tujia	the wing	tɕie³⁵tan⁵⁵khɯe⁵⁵	tɕ i e ³⁵ ◦ t a n ⁵⁵ ◦ kh ɯ e ⁵⁵				2959	
18693	Naxi	the name	mi²¹	m i ²¹				2156	
18695	Daofu	the father	a pa	a _ p a				1608	
18696	Daofu	the mother	a mə	a _ m ə				2110	
18697	Daofu	the son	ze	z e				3125	
18698	Daofu	the daughter	sme	s m e				3511	
18699	Naxi	the dream	i⁵⁵mu³³	i ⁵⁵ ◦ m u ³³				1516	
18712	Naxi	left	uæ³³tɕy²¹	u æ ³³ ◦ tɕ y ²¹				2022	
18713	Naxi	right	i²¹tɕy²¹	i ²¹ ◦ tɕ y ²¹				2316	
18714	Naxi	the front (front side)	kæ³³tɕy²¹	k æ ³³ ◦ tɕ y ²¹				3664	
18715	Naxi	outside	mu²¹ty⁵⁵	m u ²¹ ◦ t y ⁵⁵				3338	
18716	Naxi	inside	khv̩²¹tɕy²¹ko²¹	kh v̩ ²¹ ◦ tɕ y ²¹ ◦ k o ²¹				3349	
18724	Daofu	the husband	pə ŋa	p ə _ ŋ a				1940	
18725	Daofu	the husband	ɣdʑə və	ɣ dʑ ə _ v ə	!			1938	
18726	Daofu	the wife	lɛji	l ɛ j i	!			2932	
18727	Naxi	above	gə²¹to⁵⁵	g ə ²¹ ◦ t o ⁵⁵				1264	
18728	Naxi	below, under	mɯ²¹thæ³³	m ɯ ²¹ ◦ th æ ³³				1299	
18729	Daofu	to come	ɮɛ	ɮ ɛ	doubtful			1452	
18731	Naxi	today	tʂhɿ³³ȵi³³	tʂh ɿ ³³ ◦ ȵ i ³³				3362	
18732	Naxi	yesterday	ə²¹ȵi³³	ə ²¹ ◦ ȵ i ³³				3367	
18733	Bai_Jianchuan	shy	xɑ̃⁵⁵su⁵⁵	x ɑ̃ ∼ ⁵⁵ ◦ s u ⁵⁵				2474	
18734	Naxi	tomorrow	so²¹ȵi³³	s o ²¹ ◦ ȵ i ³³				3376	
18736	Naxi	morning	mɯ³³sɿ⁵⁵	m ɯ ³³ ◦ s ɿ ⁵⁵				3609	
18737	Naxi	noon	ȵi³³ly⁵⁵gv̩³³	ȵ i ³³ ◦ l y ⁵⁵ ◦ g v̩ ³³				3391	
18739	Daofu	the horn (keratinized skin)	qrə mbə	q r ə _ m b ə	!			1906	
18740	Daofu	the hoof	rȵu pa	r ȵ u _ p a	!	tib[rmig.pa]		3136	
18741	Daofu	the body hair (hair or fur)	spə	s p ə	!	tib[spu]		3556	
18742	Daofu	the body hair (hair or fur)	spə spa	s p ə _ s p a	!	tib[spu]		3556	
18743	Daofu	the tail	rŋa ma	r ŋ a _ m a	!	Tibetan[rŋa.ma]		2670	
18744	Daofu	the horse	rɣi	r ɣ i	!			3151	
18746	Daofu	the sheep	lɑ ʁɑ	l ɑ _ ʁ ɑ				3614	
18747	Daofu	the goat	tshɛ	tsh ɛ				3620	
18748	Daofu	the goat	tɛ pu	t ɛ _ p u				3627	
18753	Daofu	the pig	va	v a				3156	
18754	Naxi	the year	khv̩⁵⁵	kh v̩ ⁵⁵				2991	
18756	Daofu	the dog	kə ta	k ə _ t a				1511	
18762	Daofu	the wing	ɕɑ spɑ	ɕ ɑ _ s p ɑ	!			2956	
18763	Daofu	the feather	ɣra spə	ɣ r a _ s p ə	!			1620	
18767	Naxi	one	dɯ²¹	d ɯ ²¹				2220	
18768	Daofu	the tiger	stɑ	s t ɑ	!	tib[stag]		3564	
18769	Naxi	three	sɿ²¹	s ɿ ²¹				2762	
18770	Naxi	four	lu³³	l u ³³				1712	
18771	Naxi	five	uɑ³³	u ɑ ³³				1647	
18772	Naxi	six	tʂhuɑ⁵⁵	tʂh u ɑ ⁵⁵				2497	
18773	Naxi	seven	ʂɚ³³	ʂ ɚ ³³				2427	
18774	Naxi	eight	χo⁵⁵	χ o ⁵⁵				1588	
18775	Naxi	nine	gv̩³³	g v̩ ³³				2199	
18776	Naxi	ten	tshe²¹	tsh e ²¹				2676	
18781	Daofu	the otter	ʂsəm	ʂ s ə m	!			3632	
18783	Daofu	the mouse or rat	ftɕə	f tɕ ə	!			2276	
18785	Daofu	the wolf	spjoŋ kə	s p j o ŋ _ k ə	!	tib[spʲaŋ.ki]		3161	
18786	Daofu	the fox	dʑi vɛ	dʑ i _ v ɛ				3180	
18787	Daofu	the bird	vdʑɛ vdʑu	v dʑ ɛ _ v dʑ u	!			1358	
18794	Daofu	the sparrow	ɣzə	ɣ z ə	!			3599	
18803	Pumi_Lanping	the mosquito	tʃhɛ¹³fphø¹³	tʃh ɛ ¹³ ◦ f ph ø ¹³	!			2099	
18804	Daofu	the snake	mtʂhi	m tʂh i	!			2553	
18807	Daofu	the frog	spu ntɕhɛn	s p u _ n tɕh ɛ n	!			3181	
18809	Daofu	the fish	ʁjə	ʁ j ə				1644	
18813	Daofu	the louse	ɕo	ɕ o				2053	
18814	Dulong	the mother	ɑ³¹mɑi⁵³	ɑ ³¹ ◦ m ɑ i ⁵³				2116	
18817	Daofu	the spider	a mbə	a _ m b ə	!			2581	
18822	Pumi_Lanping	the thigh	pʂə⁵³tʂə¹³	p ʂ ə ⁵³ ◦ tʂ ə ¹³				3084	
18825	Daofu	the tree	lə phu	l ə _ ph u				3751	
18829	Daofu	the leaf	lba lə	l b a _ l ə	!			2010	
18830	Daofu	the flower	me to	m e _ t o		tib[me.tog]		1672	
18833	Daofu	the mouth	jɑ	j ɑ				2135	
18839	Daofu	the bamboo	ʁɮə	ʁ ɮ ə	!			3220	
18841	Jingpho	the bone	n³¹|ʒa³³	n ³¹ ◦ ʒ a ³³	!			1393	
18843	Pumi_Lanping	dirty	dʐa¹³	dʐ a ¹³				1505	
18845	Naxi	the goat	tshɿ⁵⁵	tsh ɿ ⁵⁵				3620	
18850	Daofu	new	xso xso	x s o _ x s o	!			2193	
18856	Daofu	the wheat	ɮe	ɮ e				3234	
18866	Tibetan_Written	the river	kluŋ ma	k l u ŋ _ m a				2335	
18875	Naxi	I [first person singular]	ŋə²¹	ŋ ə ²¹				1955	
18878	Naxi	thou [second person singular]	u³³	u ³³				2761	
18879	Naxi	thou [second person singular]	nv̩²¹	n v̩ ²¹				2759	
18881	Daofu	the meat	bjoŋ noŋ	b j o ŋ _ n o ŋ				2088	
18882	Naxi	he or she [third person singular]	thɯ³³	th ɯ ³³				1810	
18888	Daofu	the egg	zgə ŋa	z g ə _ ŋ a	!	Tibetan[sgoŋa]		1580	
18889	Naxi	this	tʂhɿ³³	tʂh ɿ ³³				2753	
18892	Naxi	that	thɯ³³	th ɯ ³³				2693	
18898	Naxi	where	ze²¹	z e ²¹				2890	
18899	Naxi	where	ze¹³	z e ¹³				2890	
18900	Pumi_Lanping	the sun	by⁵⁵	b y ⁵⁵				2661	
18901	Pumi_Lanping	the moon	ɬi⁵⁵	ɬ i ⁵⁵				2091	
18902	Pumi_Lanping	the star	dʐə¹³	dʐ ə ¹³				2606	
18904	Pumi_Lanping	the cloud	zdĩ⁵⁵	z d ĩ ∼ ⁵⁵				1438	
18905	Pumi_Lanping	the thunder	mɤ⁵⁵dʒy¹³	m ɤ ⁵⁵ ◦ dʒ y ¹³				2782	
18906	Naxi	all	dɯ³³xə³³	d ɯ ³³ ◦ x ə ³³				1272	
18907	Pumi_Lanping	the rain	gui⁵⁵	g u i ⁵⁵				2273	
18908	Pumi_Lanping	the rainbow	mɐ¹³xqhuɑ¹³	m ɐ ¹³ ◦ x qh u ɑ ¹³	!			3016	
18909	Naxi	big	dɯ²¹	d ɯ ²¹				1306	
18910	Pumi_Lanping	the hail	ʒdʒɛ̃⁵⁵	ʒ dʒ ɛ̃ ∼ ⁵⁵	!			3025	
18911	Pumi_Lanping	the frost	fpy⁵⁵	f p y ⁵⁵	!			3043	
18912	Pumi_Lanping	the dew	ʂɤ¹³	ʂ ɤ ¹³				3045	
18913	Pumi_Lanping	the fog	zdie¹³ʐẽ⁵⁵	z d i e ¹³ ◦ ʐ ẽ ∼ ⁵⁵	!			1682	
18914	Pumi_Lanping	the ice	vbu¹³vbõ¹³	v b u ¹³ ◦ v b õ ∼ ¹³	!			1956	
18915	Pumi_Lanping	the fire	mɐ⁵⁵	m ɐ ⁵⁵				1639	
18916	Pumi_Lanping	the smoke	s◦khiɯ¹³	s kh i ɯ ¹³	?			3802	
18917	Naxi	long	ʂɚ²¹	ʂ ɚ ²¹				2043	
18918	Naxi	short	dɚ³³	d ɚ ³³				2457	
18919	Naxi	far	khɯ³³kho³³	kh ɯ ³³ ◦ kh o ³³				1601	
18920	Naxi	near	nv̩⁵⁵	n v̩ ⁵⁵				2168	
18922	Naxi	narrow	tshɿ²¹	tsh ɿ ²¹				2157	
18923	Naxi	thick	lɑ⁵⁵	l ɑ ⁵⁵				2713	
18925	Pumi_Lanping	the river	tʃə⁵⁵ta¹³	tʃ ə ⁵⁵ ◦ t a ¹³				2334	
18926	Pumi_Lanping	the lake	xɯ⁵⁵	x ɯ ⁵⁵		Chinese		1992	
18927	Daofu	the house	jo	j o				1911	
18929	Naxi	many	bɯ²¹	b ɯ ²¹				2079	
18932	Pumi_Lanping	the earth (soil)	tsɑ⁵⁵	ts ɑ ⁵⁵				1565	
18934	Pumi_Lanping	the sand	ʂɑ¹³pɛ¹³	ʂ ɑ ¹³ ◦ p ɛ ¹³				2389	
18935	Pumi_Lanping	the dust	tʃɑ⁵⁵	tʃ ɑ ⁵⁵				1552	
18937	Pumi_Lanping	the water	tʃə⁵⁵	tʃ ə ⁵⁵				2846	
18938	Naxi	horizontal	le³³dɚ²¹	l e ³³ ◦ d ɚ ²¹				3436	
18939	Pumi_Lanping	the forest	siɛ̃¹³nɑ⁵⁵	s i ɛ̃ ∼ ¹³ ◦ n ɑ ⁵⁵		Tibetan[nags]		1703	
18940	Naxi	straight	tv̩²¹	t v̩ ²¹				2642	
18942	Naxi	black	nɑ²¹	n ɑ ²¹				1374	
18943	Naxi	white	phɚ²¹	ph ɚ ²¹				2907	
18944	Naxi	red	xy²¹	x y ²¹				2288	
18945	Naxi	yellow	ʂɿ²¹	ʂ ɿ ²¹				2998	
18946	Naxi	green	xɚ²¹	x ɚ ²¹				1776	
18948	Daofu	bad	qhə mɛ	qh ə _ m ɛ				1325	
18950	Naxi	dark	nɑ²¹fv̩⁵⁵	n ɑ ²¹ ◦ f v̩ ⁵⁵	!			3450	
18951	Naxi	heavy	lɯ³³	l ɯ ³³				1855	
18952	Naxi	light (of weight)	y²¹	y ²¹				3456	
18954	Naxi	early	tʂhu²¹	tʂh u ²¹				3304	
18955	Naxi	late	xo²¹	x o ²¹				3421	
18956	Naxi	sharp	thɑ⁵⁵	th ɑ ⁵⁵				3795	
18957	Pumi_Lanping	the head	qho⁵⁵	qh o ⁵⁵				1821	
18958	Pumi_Lanping	the hair (of the head)	qho⁵⁵ma⁵⁵	qh o ⁵⁵ ◦ m a ⁵⁵				1789	
18959	Naxi	dry	pv̩²¹	p v̩ ²¹				1532	
18960	Naxi	wet	dʐɚ³³	dʐ ɚ ³³				2869	
18962	Pumi_Lanping	the nose	xiɛ̃¹³dʒõ⁵⁵	x i ɛ̃ ∼ ¹³ ◦ dʒ õ ∼ ⁵⁵				2205	
18963	Pumi_Lanping	the ear	na⁵⁵dʒo⁵⁵	n a ⁵⁵ ◦ dʒ o ⁵⁵				1556	
18964	Naxi	hard	dʑy³³	dʑ y ³³				3485	
18965	Naxi	soft	bɚ³³nɚ³³	b ɚ ³³ ◦ n ɚ ³³				3577	
18966	Pumi_Lanping	the mouth	xiõ¹³	x i õ ∼ ¹³				2145	
18967	Naxi	smooth	xo³³lo⁵⁵	x o ³³ ◦ l o ⁵⁵				2545	
18969	Pumi_Lanping	the neck	qã⁵⁵	q ã ∼ ⁵⁵				2176	
18970	Pumi_Lanping	the shoulder	ʃtʃuɑ¹³	ʃ tʃ u ɑ ¹³	!			2473	
18972	Pumi_Lanping	the armpit	ʒdʒɛ¹³pu⁵⁵	ʒ dʒ ɛ ¹³ ◦ p u ⁵⁵	!			3281	
18973	Naxi	correct (right)	xo¹³	x o ¹³				1463	
18974	Pumi_Lanping	the breast (female)	niɑ̃u¹³po¹³	n i ɑ̃ u ∼ ¹³ ◦ p o ¹³	?			1202	
18975	Pumi_Lanping	the belly	fpi⁵⁵	f p i ⁵⁵	!			1338	
18977	Naxi	new	ʂɿ⁵⁵	ʂ ɿ ⁵⁵				2192	
18979	Naxi	good	ɣɯ³³	ɣ ɯ ³³				1757	
18980	Naxi	bad	khuɑ²¹	kh u ɑ ²¹				1225	
18983	Jingpho	the tongue	ʃiŋ³¹let³¹	ʃ i ŋ ³¹ ◦ l e t ³¹				2792	
18984	Naxi	old (of person)	mu⁵⁵	m u ⁵⁵				2209	
18985	Naxi	young	khv̩⁵⁵phæ³³tɕi⁵⁵	kh v̩ ⁵⁵ ◦ ph æ ³³ ◦ tɕ i ⁵⁵				3855	
18986	Naxi	hot	tshɚ³³	tsh ɚ ³³				3496	
18987	Naxi	cold (of temperature)	tɕhi⁵⁵	tɕh i ⁵⁵				1447	
18988	Pumi_Lanping	the nail (fingernail or claw)	ʒdʒã¹³	ʒ dʒ ã ∼ ¹³	!			2149	
18991	Pumi_Lanping	the skin	ʐɤ¹³	ʐ ɤ ¹³				2498	
18992	Naxi	salty	khɑ³³	kh ɑ ³³				3464	
18996	Pumi_Lanping	the blood	sa¹³	s a ¹³				1380	
18998	Naxi	dirty	ȵə⁵⁵ȵə³³	ȵ ə ⁵⁵ ◦ ȵ ə ³³				1506	
18999	Naxi	to be alive	sɿ²¹	s ɿ ²¹				1330	
19000	Pumi_Lanping	the bone	ʐɑ⁵⁵qɑ¹³	ʐ ɑ ⁵⁵ ◦ q ɑ ¹³				1396	
19002	Pumi_Lanping	the tooth (front)	ʂy⁵⁵	ʂ y ⁵⁵				2800	
19003	Pumi_Lanping	the tongue	ɬie⁵⁵qho⁵⁵	ɬ i e ⁵⁵ ◦ qh o ⁵⁵				2794	
19004	Dulong	the sky	muʔ⁵⁵	m u ʔ ⁵⁵				2511	
19005	Dulong	the sun	nɑm⁵³	n ɑ m ⁵³				2663	
19006	Pumi_Lanping	the lung	tshy¹³	tsh y ¹³				3095	
19007	Pumi_Lanping	the heart	skhyɛ⁵⁵	s kh y ɛ ⁵⁵	!			3771	
19008	Pumi_Lanping	the liver	tsyɛ̃⁵⁵	ts y ɛ̃ ∼ ⁵⁵				2040	
19009	Dulong	the star	gu⁵⁵mjɛt⁵⁵	g u ⁵⁵ ◦ m j ɛ t ⁵⁵				2608	
19010	Dulong	the cloud	ɹɯ³¹mɯt⁵⁵	ɹ ɯ ³¹ ◦ m ɯ t ⁵⁵				1432	
19011	Dulong	the thunder	muʔ⁵⁵	m u ʔ ⁵⁵				2778	
19012	Dulong	the wind	nɑm⁵³bɯŋ⁵³	n ɑ m ⁵³ ◦ b ɯ ŋ ⁵³				2943	
19013	Dulong	the rain	nɑm⁵³ (wɑ⁵³)	n ɑ m ⁵³ _ w ɑ ⁵³	!			2270	
19014	Dulong	the rainbow	mɯ³¹ɕin⁵⁵nɛn⁵⁵nɑ⁵⁵jɔʔ⁵⁵	m ɯ ³¹ ◦ ɕ i n ⁵⁵ ◦ n ɛ n ⁵⁵ ◦ n ɑ ⁵⁵ ◦ j ɔ ʔ ⁵⁵				3021	
19015	Dulong	the snow	tɯ³¹wɑn⁵³	t ɯ ³¹ ◦ w ɑ n ⁵³				2560	
19016	Dulong	the hail	wan⁵⁵ɕɛn⁵³	w a n ⁵⁵ ◦ ɕ ɛ n ⁵³				3030	
19017	Dulong	the frost	wɑn⁵⁵dʑuŋ⁵⁵	w ɑ n ⁵⁵ ◦ dʑ u ŋ ⁵⁵				3040	
19018	Dulong	the dew	nɑm³¹dʑa ŋ⁵³	n ɑ m ³¹ ◦ dʑ a ŋ ⁵³	! sans ton			3054	
19019	Dulong	the dew	nam³¹klaŋ⁵³	n a m ³¹ ◦ k l a ŋ ⁵³				3053	
19020	Dulong	the fog	pɑŋ³¹nɯ⁵⁵	p ɑ ŋ ³¹ ◦ n ɯ ⁵⁵				1684	
19021	Dulong	the ice	bɹɑ p⁵⁵	b ɹ ɑ p ⁵⁵	! sans ton			1956	
19022	Dulong	the fire	tɯ⁵⁵mi⁵⁵	t ɯ ⁵⁵ ◦ m i ⁵⁵				1639	
19023	Dulong	the smoke	nɯt⁵⁵	n ɯ t ⁵⁵				2540	
19024	Daofu	the rope	sku lu	s k u _ l u	!			2362	
19025	Dulong	the mountain	lɯ³¹kɑ⁵⁵	l ɯ ³¹ ◦ k ɑ ⁵⁵				2124	
19026	Daofu	the sickle	ɕha re	ɕh a _ r e				3297	
19027	Daofu	the sickle	ɕha ren	ɕh a _ r e n				3297	
19028	Pumi_Lanping	the child (young human)	tʃə̂¹³	tʃ ə̂ ¹³				3104	
19029	Dulong	the river	wɑŋ⁵³dɔŋ⁵³	w ɑ ŋ ⁵³ ◦ d ɔ ŋ ⁵³				2333	
19030	Dulong	the lake	nɯ⁵⁵	n ɯ ⁵⁵				1997	
19031	Dulong	the sea	su⁵⁵	s u ⁵⁵				3121	
19032	Pumi_Lanping	the man (male human)	by¹³tshie⁵⁵	b y ¹³ ◦ tsh i e ⁵⁵				2057	
19033	Pumi_Lanping	the woman	m̥i¹³by⁵⁵bɑ¹³	m̥ i ¹³ ◦ b y ⁵⁵ ◦ b ɑ ¹³				2967	
19034	Dulong	the tail	mi⁵⁵	m i ⁵⁵				2672	
19035	Dulong	the road	tɯ³¹ɹɑ⁵³	t ɯ ³¹ ◦ ɹ ɑ ⁵³				2340	
19036	Dulong	the earth (soil)	gaʔ⁵⁵	g a ʔ ⁵⁵				1563	
19038	Dulong	the sand	ɑ⁵⁵pi⁵⁵	ɑ ⁵⁵ ◦ p i ⁵⁵				2386	
19039	Dulong	the dust	pɑ³¹pu⁵⁵	p ɑ ³¹ ◦ p u ⁵⁵				1547	
19040	Dulong	the mud	tɕɯ³¹kɔŋ ⁵³	tɕ ɯ ³¹ ◦ k ɔ ŋ ⁵³	? !			3066	
19041	Dulong	the water	wɑ · ŋ⁵³	w ɑː ŋ ⁵³	!			2853	
19043	Dulong	the forest	ɕiŋ⁵⁵plɑ⁵⁵	ɕ i ŋ ⁵⁵ ◦ p l ɑ ⁵⁵				1706	
19045	Tujia	to wipe	jie³⁵	j i e ³⁵				3500	
19046	Dulong	the salt	sɯ³¹lɑʔ⁵⁵	s ɯ ³¹ ◦ l ɑ ʔ ⁵⁵				2381	
