ID	LANGUAGE	GLOSS	IPA	SEGMENTS	SOURCE	A	U	PS	PD	UE	EC	RF	XV	XE	NG	NP	NS	AME	NT	SO	DT	ANALIMAŊ	OULDN'T	AŊTɕEN	OɕMEITIK	ERY	SN	IKKA	STIK		ITTLE	IKI	HARGAN	OUNGEST	ND	AKMA	AZA.	INZA.	SED	CONV22ː1424)	APDZA.	OɕMEI	ETE	HILDREN	APɕET.	EPHEWS	ROTHER	AR	I.	JARGA	APɕI	TO	HE	AVE	ESTOK	ESLANDOK	09)	ALLEY	OUSES.	983ː	RAK(S)KATA.	IDZI	WOHNEN,	SʰAŊTSʰAŊI	RASɕUM.	OɕAK.	RELMEN.	RITɕEK.	WANTSʰA.	ROɕA	RE	ROɕAK.	ACHOTHER.	BROŊSKATA)	ROŊMENǃ	XCAVATE"	OT	HASHUR	?)	OSLASSEN"	HILDRENǃ	UTMEN.	P)	ATER.	AUT	EBRÄUCHLICH!	KʰARMASTOK"	OSE"	OLD	SMALL"	BEDEUTUNG	IELD-WORKER,	OTS	INTERTIME	O	SCAPE"	UREK	AS	EREMONIEN	ERKÖRPERN	ORMANT	TYMOLOGICALLY	ORD	EFORE.	IGHT	GYADUNG".	OUTSʰA.	HROWN	ISTAKE)	321:200)	N	RAIN	D	RUɕI	ORKING.	OING	OKNAŊ	:64)	FLEXIBEL"	EŊDʑI.	OL1ː28	AT	ERAǃ	AːSTOKǃ	PPROPRIATE	ENʑI.	NUR	RAŊDʑOK.	ʰITɕI	EMAŊ	DUNG	Aː.	NSINCERELY.	KURIMTIK	PERFORM	FINGER)NAGEL,	ER	ZIŊTɕUM	ALDOK	ʰATɕIK	OI,	RUNKEN	OUGHT	3:	HNE	ZOMRAŊS	JADZALA,	KʰAƮːAː	ɕʰA	AL	ʰJAMEN	OME,	OGETHER,	THER	..	TOGETHER).	ZOT.	ZUƮʰU	JADZALA	AD	ʰADʑA	IGHT).	EACHING.	CCUSTOMATED"	Iː.	UNCH	STYLE,	REMATION	A.	VERY	ʰUPTɕARE.	ʑUŊDOK	HERE	E	ʑWALTDʑI.	QUALLY.	EUTET	ONASTERY?	BERPRÜFEN!	UNCTION	ONASTERY..	ITTING	JANA	ZHANGZHUNG	OR	OETISCHE	OOD	CCASION	GOISTIC,	ENAK	ARDAŊDOK	ʰIPɕA,	GOMPA]	OOLISHNESS,	IELD.	FFECTIONATELY.	UARRELING.	IKE	AT)	STRAY"	JOTPA	T.	PO	TD	ORM	AGARE.	OK	OME	OTI	WAŊDʑI	ENAK.	HEY	ROWN	ANT	OMAǃ	UDDHAǃ	HOUGHTS	Y	W	LACE"	E.	5.29)	OY'S	ʰUPTɕI	OW.	USAMMEKOMMEN"	ANEINANDER	EAS.	PLUCKING)	64)	ERE	ESTERN	SAID	ROM	NDERSTAND.	Aː	OOD,	FF,	ELTɕEK.	ELGATA.	ELMEN.	ELTɕARE.	ɕʰOTDʑI	PPROVAL	IRECTLY	ANTɕEK.	RUCK.	ERSON	EARS	ESAR).	IKTɕIPAHENʑI.	TRIKE"	APTɕEK.	INDZA.	2.2.588)	LET	ESTERDAY,	IT)	ʰOKDZA.	ARKNESS).	EEN	ARKNESS	AMEN	OOD.	LTE.	EGETABLES.	ʰURTɕARE.	EALIZED	EALIZING	OTSA.	HINGS)"	V'S).	MMEDIATELY.	WAŊDE	ROUGHT	AMEN.	TD)	SUKƮʰU)	ALF	RADITIONAL	LACKSMITH	XPECTED	ONGS	ENDʑI.	ONK	ASHING	INʑET.	UNS	EED	TL	ESSENGER	OMPA.	EMEDʑOK	IED,	NA	NQ	ITH	EARS)	EAR	BARK",	NARR.	ʰADZU	ʑAŊDʑUŊKI	ONƮʰEK.	E)	HANGZHUNG.	OOR)	AY	HEN	WAK.	AGEK.	ILLAR.	AɕIROK	OPE	UF	SHA)	ʰARTɕAŊ	OƮAL	OTTLES.	OULD	ʰARTSA.	ʰETTɕARE.	ʰETTɕEK.	OGETHER"	WEEP	FOREARM"	ʰA	OWN?ǃ	JORGAːSTOK	IRCLE	WAIST'	I:.	RIVEN	ʰUKSA	OUND	AKʰUKSA.	LS	ALLENDER	CHONGS	GAINST"	ANTSUKTIK	AKSɕI	HICH	AMɕIPAHENDʑI.	CCEPT"	ANG,	ANGS,	HARACTERISTIC	UZA.	ONAM	CHLECHT"	CCORDING	BALKENREITER"?	TB	L	G	AMA	ALJOSH	ONASTERY	ORK	EEING	NOWING	ORKING	IKMEN.	ESTERDAY.	USGESPROCHEN,	A-HA-TA-LHA	UDRASAI	AJMDOK	MAŊǃ	OŊʑARE.	OMITING.	CAUSE	OTTɕEK.	IKTɕUMʑI.	WATMENLA?	ONEY?	WASDZA.	WASDʑIǃ	ŊGI	ATTɕʰI,	MABAT]	ZATɕʰI	AKING	EOPLE	EOPLE,	068)	RANGTSE)	REATHY	LD	2.2.247	EANS	WAŊTSʰA.	USA.	I)	ERVOUS,	IRECT"	Z	ENAŊ	HAN	ENDURE,	ONTɕOKTOK	OTKJATANAǃ	EFINITELY	WAŊTɕʰI	HEAVEN-STONE"	ANTSʰA.	ONTROL	RETTAK.	E,	93)	EME	I	OMPA)	I'M	OMPA)).	ORDʑE	SHERING	NƏY	ʰALAK	SOKSE	ECAUSE	UBUɕATIK	ORTɕI	INCHEN	LEAN).	ANTɕA	F	EE	OBILE	AːTALA?	CCEPTANCE	B	EXPERIENCE,	BREATHE,	LIPAHENTɕʰOK.	VENING.	MTɕA	ORNING	OWN	IELD	00)	ISTOK	IVERBANK	ZUKTSA.	22)	HEAP	ZIK	HEEP.	OVE	ADAKSTSUK	ADAKH.	ʰANDZA.	URED	ŊLIɕDOK	ROFIT	THROW,	SAPɕI	PIERCE,	EN?	TYMON	AFTERNOON")	OILET	MURMELTIER"	ʰJARTɕEK.	ARRIED.	ʰOKTSA.	UɕAROK	OWN)	OILETS	RANSFER"	UT	SAMPA	EMOVED.	ʰRALTSʰA.	66)	OOF.	SUNATIK	AKE	ʰULMEN.	INCLUDING	ʰAKʰA	CONV22:889)	IVER.	ʰAMZAŊ	IKZA.	ORJE	IRECT	NDZI.	ANCE	UPɕI	NOT:	LOUGH).	MOKE	ʰIRDZA.	HERE)	UTɕA	IM.	USAMMENHANG	RANKHEITSBEZEICHNUNGEN	ONE?"	ULDZANAŊ	OAD).	Iː	ʑOTTɕI	1S	2S	3S	1P	2P	3P	TSI)	AKTAK.	ARKA	ARKIERUNG"	IKKI	LACE	ARURI	ERE!	ARE.	ARGER	BUTTOCKS'	ɕAɕDZA.	UNWAHRSCHEINLICHː	EDEUTUNG	NTERESSANT!	THER)	ALDZI	ECRET	MGANGSSPRACHLICHER	ɕOKDʑI	ɕOKKUDZA.	COVER"	ROPOSAL.	ROBLEMS	ICHTǃ	JENMOI	IFE.	IFFICULT	ʰIRTAK	AVING	IRED"	MERICAS	ɕʰILMEN.	ɕʰOKKARE.	ɕʰOK?	ROUND	REPARED,	EMPLATE	IVE"	ʰULTɕʰA.	OMETHING	ʰADZU.	EPDʑI	EIPA	OMORROW.	ʑOTCA	LESSING	ʰONDZA.	IPSA.	IPMEN.	AM	OMEN.	OKDZA.	ORBU.	ATTOK	TTACH"	AKEN	WAY	AUSE"	IECES,	INDEUTIG	AT-DIALEKTEN	EAR,	RU(S)KATA.	SAKDʑI	PA.	FT	OOKED	CARPENTER)	HOP,	OTTLES	UT,	OINTED"	TILL	NOW	ONAM)	ORBU)	IKKIDZA.	SʰAŊTɕEK.	SʰAPSTOK	JADʑI	IED	ʰADZUI	ERVOUS"	XPRESSING	HOS	ʰULTɕA.	SHOGS.	EN.	EFT).	SʰWASKATA.	AMPO).	A	SYWAR	TC.	ASSER	ONDERN	ENMEN	ARTHQUAKE.	WAKʰEK.	WAː	ONEY)	WANMEN.	WANZA.	ENTENCE	NTENTIONAL	ʰAKMEN.	ʰAMATʰOME	ERSON.	ʰAŊCARE.	ʰAŊMENLA?	ʰAŊTAK.	ʰAŊMEN.	AWA	RAŊMAŊ,	RAŊMAŊ	ʰADZUTSʰI	JOKPATSUK	ALTSʰI	INANIS,	ELL,	5ː166)	LIEING)	INE)ǃ	APPROPRIATE	IS	OU	ʰIRGUZA.	ʰIRMEN.	OOK.	ROPING	ʰONMEN.	OOM).	INZA,	ʰUKKIZA.	UDDENLY	GREED.	LET.	AUGHTER.	RROGANT	ʰAKLUŊ	ʰOTKJARE.	ATERIAL	DAN	WOOLEN	OTNAŊRE,	CHIEVE"	ʰUPɕUM	ʰUPKATALA	ANNOT	IBTEAN	CCURRING	YANGSI
1407	Bunan	shaman, medium	mjonba	m j o n b a	Widmer2014			n			WT myong, myangs, myang, myongs									TD	30/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																												experience" (?)																																																																																																																																																																																																																																																																							
1408	Bunan	downstairs	mjoŋ	m j o ŋ	Widmer2014			adv (loc)			-		ʈaɕi mjoŋ ni.	Tashi is downstairs.						AB	24/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1409	Bunan	month of ploughing	mjoski sla	mjoski sla	Widmer2014			n			-									AB / TD	30/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1410	Bunan	6th month of the traditional calendar	mjosla	m j o s l a	Widmer2014			n			-									TD	30/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1411	Bunan	brother	mjuŋ	m j u ŋ	Widmer2014			n			WT ming po (WAT, WIT)				MS					AB	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1412	Bunan	roast (grain etc.)	mo	m o	Widmer2014			v	-tɕa		-		tal puk motɕare.	He is roasting wheat.	cEA					AB / TD	30/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1413	Bunan	teacher	moɕi	m o ɕ i	Widmer2014			n			U									AB	19/Jul/2011																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1414	Bunan	get one's hair cut	mok	m o k	Widmer2014			v	-ɕa		-		ja tal mokɕet.	Yesterday he had his hair cut.	cEA < TR					AB	07/Apr/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1415	Bunan	get someone's hair cut	mok	m o k	Widmer2014			v	-tɕa		-		gizi tei kra mokmen.	I cut his hair.	cEA >					AB	07/Apr/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1416	Bunan	turnip	mokali	m o k a l i	Widmer2014			n			-									SA	30/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1417	Bunan	donkey (female)	mokara	m o k a r a	Widmer2014			n			WT ku ru ~ ku rug									TD	30/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1418	Bunan	mushroom	mokɕa	m o kɕ a	Widmer2014			n			PTB *məw									AB / TD	10/Mar/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1419	Bunan	boil	moktsi	m o k ts i	Widmer2014			n			-									ZC	30/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1420	Bunan	bowl used to make momo	mokʈa	m o k ʈ a	Widmer2014			n			WT mog mog									AB	30/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1421	Bunan	bitch	mokʰju	m o kʰ j u	Widmer2014			n			WT mo khyu					asp				AB	06/Jun/2012																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1422	Bunan	prayer	molam	m o l a m	Widmer2014			n			WT smon lam									TD	23/Feb/2012																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1423	Bunan	say a prayer	molam tat	molam tat	Widmer2014			v	-tɕa		WT gtod, gtad, gtad, gtod		tʰazuŋ eltɕi eraŋtsʰi	We will go there and pray to God.	cEA					ZC	03/Jun/2014																																																																																																																																																																																																																																																																																																																																																																																													molam taɟatʰek.																																																																																																																																																																																																																																																																						
1424	Bunan	dumplings	momok	m o m o k	Widmer2014			n			WT mog mog									ZC / AB	27/Jul/2011																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1425	Bunan	satisfaction	moms	m o ms	Widmer2014			n			WT ngoms "be satisfied" (?)				-s					TD	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1426	Bunan	be satisfied, be full (with liquids)	moms	m o ms	Widmer2014			v	-de		WT ngoms "be satisfied" (?)		gi momsdza!	I am satisfied!	ncA					TD / PS	12/Jan/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1427	Bunan	near	mostok	m o s t o k	Widmer2014			adv (loc)			-									TD	24/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1428	Bunan	face	mot	m o t	Widmer2014			n			-				MS					AB	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1429	Bunan	real, true	motok	m o t o k	Widmer2014			adj			-									TD	30/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1430	Bunan	kitchen (at a marriage)	motʰap	m o tʰ a p	Widmer2014			n			WT thab "hearth"					asp				Dhar	28/Jul/2011																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1431	Bunan	car, truck	moʈor	m o ʈ o r	Widmer2014			n			(E) motor									ZC	22/Feb/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1432	Bunan	snow	mu	m u	Widmer2014			n			- / PTB *məw "heavens"	Jk. mu			MS					TL 18: 131	30/Dec/2015																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1433	Bunan	school	mudarsa	m u d a rs a	Widmer2014			n			(A) madrasa									ZC	08/Jul/2011																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1434	Bunan	three days ago	mudjwak	m u d j w a k	Widmer2014			adv (time)			-									AB	24/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1435	Bunan	three years ago	mudwaŋ	m u d w a ŋ	Widmer2014			adv (time)			-									TD	24/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1436	Bunan	three years back (approximately)	mudwaŋɕek	m u d w a ŋɕ e k	Widmer2014			adv (time)			-									TD	24/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1437	Bunan	desire	muk	m u k	Widmer2014			n			WT mug "desire, expect"		girok arakki muk rare.	I would like to have some arak.	MS					AB / TD	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1438	Bunan	fog	mukpa	m u k p a	Widmer2014			n			WT rmugs pa ~ smugs pa						only used by old people			AB / TD	21/Feb/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1439	Bunan	dark blue, brown	mukpoj	m u k p o j	Widmer2014			adj			WT smug po									TL 18ː 382	30/Sep/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1440	Bunan	silver	mul	m u l	Widmer2014			n			WT dngul / PTB *mul				MS					ZC	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1441	Bunan	dark in colour, greyish	muli	m u l i	Widmer2014			adj			-									Sharab / ZC / TD	30/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1442	Bunan	lukewarm (liquids)	mulmul	m u l m u l	Widmer2014			adj			WT mal la mul le									SA	20/Feb/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1443	Bunan	lukewarm (liquids)	mulna	m u l n a	Widmer2014			adj			WT mal la mul le (?)									TD	30/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1444	Bunan	darkness	munɖak	m u n ɖ a k	Widmer2014			n			WT mun pa "fog", mun nag "darkness"		munɖak care.	It's getting dark.						TL	14/Jul/2011									ZZ mu-gun "black" / PTB *mun																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																										
1445	Bunan	in dark night	munɲa	m u n ɲ a	Widmer2014			adv			WT mun "fog"		munɲa amtɕa ʈʰuptɕi ma	I cannot walk in the dark night. (TD)						ZS / TD	25/Nov/2016																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1446	Bunan	midnight	munpʰet	m u n pʰ e t	Widmer2014			n			WT mun "dark(ness)"									TD	30/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1447	Bunan	get unconscious	munt	m u n t	Widmer2014			v	-de		-		gi ja munʑi elʑi.	I fainted yesterday.	cA					AB	22/Feb/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1448	Bunan	field (small)	muntsi	m u n ts i	Widmer2014			n			WT -									ZC	28/Jan/2012																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1449	Bunan	grumble	mur murs	mur murs	Widmer2014			v	-ɕa		WT mur "gnaw, chew" ?		tal murmurɕare.		cA					TD / SA	10/Mar/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1450	Bunan	snore	murt	m u r t	Widmer2014			v	-de		WT ngur 'to grunt'		tal pʰirok hoɕmei murkare.	He snores very loud at night.	cA					AB / SA	23/Feb/2016																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1451	Bunan	tap	murti	m u r t i	Widmer2014			n			grumbling water?									YC	24/Jul/2016																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1452	Bunan	big pestle (used to seperate grain and husk)	musulɖu	m u s u l ɖ u	Widmer2014			n			-									TD	30/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1453	Bunan	flea	mutik	m u t i k	Widmer2014			n			-	Jk. smutig								TL / TD	30/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1454	Bunan	pearl	mutik	m u t i k	Widmer2014			n			WT mu tig									YZ	30/Jun/2013						1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																													
1455	Bunan	moustache	mutsʰa	m u tsʰ a	Widmer2014			n			WT -									TD	28/Jan/2012																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1456	Bunan	oath	na	n a	Widmer2014			n			WT mna'		na kjaltɕa	to swear	MS					AB / TD	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1457	Bunan	definitely	na	n a	Widmer2014			part			-		tʰe tʰa hela neǃ han	Don't take this with youǃ You will						TD	03/Nov/2013																																																																																																																																																																																																																																																																																																																																																																																															lose itǃ																																																																																																																																																																																																																																																																				
1458	Bunan	pus	nak	n a k	Widmer2014			n			WT rnag				MS					AB	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1459	Bunan	kind, sort	naka	n a k a	Widmer2014			n			WT sna kha		kʰjak naka nakai mi	All kind of people are coming here.						SA	30/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																gwak.																																																																																																																																																																																																																																																																			
1460	Bunan	picture	nakɕa	n a kɕ a	Widmer2014			n			H ?									AB	13/Jul/2011																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1461	Bunan	flexible (like thin twigs)	naki	n a k i	Widmer2014			adj			-									TD	30/Jun/2013																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1462	Bunan	ink	naksa	n a ks a	Widmer2014			n			WT snag tsha									AB	18/Jul/2011																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1463	Bunan	wool, yarn	nalma	n a l m a	Widmer2014			n			WT snal ma									AB	02/Jul/2011																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1464	Bunan	sky	nam	n a m	Widmer2014	nä̀m		n			WT gnam	TL nahm			MS					TL 27ː 10; 11	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1465	Bunan	daughter-in-law	nam	n a m	Widmer2014	nä́m		n			WT mna' ma				MS					TL 27: 4; 7	10/Feb/2014																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																			
1466	Bunan	meteorit	namdo	n a m d o	Widmer2014			n			(laut Nawang Norbu WT gnam rdo									AB	20/Jul/2011																																																																																																																																																																																																																																																																																																																																																																																																	> nicht im CDTD)																																																																																																																																																																																																																																																																		
